Round, Time, Goodness of Fit, Total Alpha  , Universal bounded bidder/Columns Expert, Alpha, Current Bid, Universal bounded bidder/Column interactions Expert, Alpha, Current Bid, Universal bidder/Used-feature interactions Expert, Alpha, Current Bid, Universal bidder/Skipped-feature interactions Expert, Alpha, Current Bid, Universal bidder/Skipped-feature polynomial Expert, Alpha, Current Bid, Fit bidder [Y_hat_]/Linear Model Expert, Alpha, Current Bid, Winning Expert, High Bid, p-value, Variable, Outcome, Payoff, RSS, CVSS
1, Tue Jun 23 10:28:52 , 0, 100.057, "Batting_average", 0.0142857, 0.00498629, "Batting_average"^2 , 0.0141443, 0.00493692,  , 0.0142857, 0,  , 0.00714286, 0,  , 0.00714286, 0,  , 100, 0, Universal bounded bidder/Columns, 0.00498629, 5.41312e-07, "Batting_average","Batting_average",0.05,4.77184e+08,0
2, Tue Jun 23 10:28:52 , 0.0763779, 100.107, "On-base_percentage", 0.0642857, 0.0224383, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629,  , 0.00714286, 0,  , 0.00714286, 0, Y_hat_0, 100, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.112567, square[Y_hat_1], ,-0.025641, , 
3, Tue Jun 23 10:28:52 , 0.0763779, 100.081, "On-base_percentage", 0.0642857, 0.0224383, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.9744, 0, Universal bounded bidder/Columns, 0.0224383, 0.00206939, "On-base_percentage","On-base_percentage",0.05,4.61258e+08,0
4, Tue Jun 23 10:28:52 , 0.107205, 100.131, "_Number_of_runs", 0.114286, 0.0398903, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_1, 99.9744, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.0634123, square[Y_hat_2], ,-0.025641, , 
5, Tue Jun 23 10:28:52 , 0.107205, 100.106, "_Number_of_runs", 0.114286, 0.0398903, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.9487, 0, Universal bounded bidder/Columns, 0.0398903, 6.46799e-15, "_Number_of_runs","_Number_of_runs",0.05,3.0309e+08,0
6, Tue Jun 23 10:28:52 , 0.413349, 100.156, "Number_of_hits", 0.164286, 0.0573423, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_2, 99.9487, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.819558, square[Y_hat_3], ,-0.025641, , 
7, Tue Jun 23 10:28:52 , 0.413349, 100.13, "Number_of_hits", 0.164286, 0.0573423, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.9231, 0, Universal bounded bidder/Columns, 0.0573423, 0.0619754, "Number_of_hits", ,-0.0608305, , 
8, Tue Jun 23 10:28:52 , 0.413349, 100.069, "Number_of_doubles", 0.103455, 0.03611, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.9231, 0, Universal bounded bidder/Columns, 0.03611, 0.0840127, "Number_of_doubles", ,-0.0374628, , 
9, Tue Jun 23 10:28:52 , 0.413349, 100.032, "Number_of_triples", 0.0659924, 0.011517, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.9231, 0, Universal bounded bidder/Columns, 0.011517, 0.00582515, "Number_of_triples","Number_of_triples",0.05,2.92316e+08,0
10, Tue Jun 23 10:28:52 , 0.434203, 100.082, "Number_of_home_runs", 0.115992, 0.040486, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_3, 99.9231, 0.25, Fit bidder [Y_hat_]/Linear Model, 0.25, 0.738793, square[Y_hat_4], ,-0.333333, , 
11, Tue Jun 23 10:28:52 , 0.434203, 99.7485, "Number_of_home_runs", 0.115992, 0.040486, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314,  , 99.5897, 0, Universal bounded bidder/Columns, 0.040486, 0.000847618, "Number_of_home_runs","Number_of_home_runs",0.05,2.7816e+08,0
12, Tue Jun 23 10:28:52 , 0.461603, 99.7985, "runs_batted_in", 0.165992, 0.057938, "Batting_average"^2 , 0.0141443, 0.00493692, "Batting_average"^2 , 0.0142857, 0.00498629, "Batting_average" , 0.00714286, 0.00249314, square[Y_hat_1], 0.00714286, 0.00249314, Y_hat_4, 99.5897, 0.025, Fit bidder [Y_hat_]/Linear Model, 0.025, 0.577559, square[Y_hat_5], ,-0.025641, , 
