Probability of death in the next year - from Faber and Wade (with extrapolations by dean)
Age	 M	F
0	.00844	.00664
1	.00069	.00053
2	.00046	.00034
3	.00038	.00026
4	.00030	.00019
5	.00026	.00017
6	.00024	.00015
7	.00022	.00014
8	.00019	.00013
9	.00015	.00011
10	.00013	.00010
11	.00013	.00009
12	.00019	.00012
13	.00033	.00017
14	.00053	.00024
15	.00074	.00033
16	.00094	.00041
17	.00112	.00047
18	.00124	.00050
19	.00133	.00050
20	.00140	.00050
21	.00148	.00051
22	.00155	.00051
23	.00162	.00051
24	.00168	.00051
25	.00174	.00051
26	.00179	.00051
27	.00179	.00051
28 	.00173	.00051
29	.00164	.00050
30	.00153	.00050
31	.00143	.00050
32	.00138	.00051
33	.00137	.00052
34	.00141	.00055
35	.00147	.00058
36	.00154	.00062
37	.00162	.00068
38	.00170	.00075
39	.00181	.00085
40	.00193	.00095
41	.00210	.00108
42	.00230	.00121
43	.00256	.00136
44	.00286	.00152
45	.00319	.00170
46	.00356	.00190
47	.00398	.00213
48 	.00448	.00241
49	.00504	.00271
50	.00567	.00305
51	.00633	.00342
52	.00694	.00378
53	.00747	.00412
54	.00797	.00446
55	.00853	.00483
56	.00921	.00525
57	.00999	.00577
58	.01088	.00640
59	.01190	.00714
60	.01299	.00792
61	.01425	.00874
62	.01583	.00962
63	.01783	.01055
64	.02015	.01152
65	.02275	.01259
66	.02542	.01372
67	.02796	.01478
68	.03026	.01573
69	.03246	.01664
70	.03473	.01764
71	.03734	.01883
72	.04047	.02021
73	.04427	.02183
74	.04860	.02369
75	.05338	.02588
76	.05829	.02834
77	.06306	.03091
78	.06751	.03355
79	.07189	.03640
80	.07644	.03966
81	.08160	.04353
82	.08767	.04815
83	.09485	.05363
84	.10295	.05994
85	.11162	.06699
86	.12057  .07472
87	.12964	.08310
88	.13882	.09215
89	.14819	.10193
90	.15787	.11250
91	.16810	.12393
92	.17876	.13630
93	.19023	.14965
94	.20254	.16402
95	.21465	.17827
96	.22642	.19211
97	.23772	.20525
98	.24841	.21741
99	.25834	.22828
100	.26876	.23969
101	.27942	.25168
102	.29060	.26425
103	.30222	.27747
104	.31431	.29135
105	.32688	.30591
106	.33996	.32121
107	.35356	.33727
108	.36770	.35413
109	.38241	.37184
110	.39770	.39043
111	.41361	.40995
112	.43016	.43016
113	.44736	.44736
114	.46526	.46526
115	.5	.5
116	.5	.5
117	.5	.5
118	.5	.5
119	.5	.5
120	.5	.5
121	.5	.5
122	.5	.5
123	.5	.5
124	.5	.5
125	.5	.5
126	.5	.5
127	.5	.5
128	.5	.5
129	.5	.5
130	.5	.5
131	.5	.5
132	.5	.5
133	.5	.5
134	.5	.5
135	.5	.5
136	.5	.5
137	.5	.5
138	.5	.5
139	.5	.5
140	.5	.5
141	.5	.5
142	.5	.5
143	.5	.5
144	.5	.5
145	.5	.5
146	.5	.5
147	.5	.5
148	.5	.5
149	.5	.5
