Specific Risk Factors	Risk Coefficient
Smoking_Self_Male_Lung_Cancer_0	0.114303
Smoking_Self_Male_Lung_Cancer_1_14	0.925854
Smoking_Self_Male_Lung_Cancer___15	1.977442
Smoking_Self_Male_Heart_Diseases_0	0.65367
Smoking_Self_Male_Heart_Diseases_1_14	1.176606
Smoking_Self_Male_Heart_Diseases___15	1.176606
Smoking_Self_Male_Stroke_0	0.909635
Smoking_Self_Male_Stroke_1_14	1.000599
Smoking_Self_Male_Stroke___15	1.091562
Smoking_Self_Female_Lung_Cancer_0	0.208156
Smoking_Self_Female_Lung_Cancer_1_14	1.290567
Smoking_Self_Female_Lung_Cancer___15	1.998298
Smoking_Self_Female_Heart_Diseases_0	0.668366
Smoking_Self_Female_Heart_Diseases_1_14	1.203059
Smoking_Self_Female_Heart_Diseases___15	1.336732
Smoking_Self_Female_Stroke_0	0.611989
Smoking_Self_Female_Stroke_1_14	1.10158
Smoking_Self_Female_Stroke___15	1.529973
Smoking_Spouse_Male_Lung_Cancer_0	0.943209
Smoking_Spouse_Male_Lung_Cancer_1_19	2.018467
Smoking_Spouse_Male_Lung_Cancer___20	2.178813
Smoking_Spouse_Female_Lung_Cancer_0	0.675393
Smoking_Spouse_Female_Lung_Cancer_1_14	0.959058
Smoking_Spouse_Female_Lung_Cancer_15_19	1.067121
Smoking_Spouse_Female_Lung_Cancer___20	1.290001
Alcohol_Male_Cirrhosis_0	0.428193
Alcohol_Male_Cirrhosis_1	0.513832
Alcohol_Male_Cirrhosis_2	0.513832
Alcohol_Male_Cirrhosis_3	1.113302
Alcohol_Male_Cirrhosis_4	3.211448
Alcohol_Male_Alcohol_Related_Cancers_0	0.656774
Alcohol_Male_Alcohol_Related_Cancers_1	0.919484
Alcohol_Male_Alcohol_Related_Cancers_2	0.919484
Alcohol_Male_Alcohol_Related_Cancers_3	0.985161
Alcohol_Male_Alcohol_Related_Cancers_4	1.838967
Alcohol_Male_Heart_Diseases_0	1.168775
Alcohol_Male_Heart_Diseases_1	1.051898
Alcohol_Male_Heart_Diseases_2	0.93502
Alcohol_Male_Heart_Diseases_3	0.818143
Alcohol_Male_Heart_Diseases_4	0.93502
Alcohol_Male_Stroke_0	1.259142
Alcohol_Male_Stroke_1	0.881399
Alcohol_Male_Stroke_2	0.881399
Alcohol_Male_Stroke_3	1.007314
Alcohol_Male_Stroke_4	0.881399
Alcohol_Female_Cirrhosis_0	0.732192
Alcohol_Female_Cirrhosis_1	0.658973
Alcohol_Female_Cirrhosis_2	1.098288
Alcohol_Female_Cirrhosis_3	1.537603
Alcohol_Female_Cirrhosis_4	3.514522
Alcohol_Female_Alcohol_Related_Cancers_0	0.85084
Alcohol_Female_Alcohol_Related_Cancers_1	0.935924
Alcohol_Female_Alcohol_Related_Cancers_2	0.680672
Alcohol_Female_Alcohol_Related_Cancers_3	1.27626
Alcohol_Female_Alcohol_Related_Cancers_4	2.55252
Alcohol_Female_Heart_Diseases_0	1.108406
Alcohol_Female_Heart_Diseases_1	0.886725
Alcohol_Female_Heart_Diseases_2	0.886725
Alcohol_Female_Heart_Diseases_3	0.997565
Alcohol_Female_Heart_Diseases_4	0.997565
Alcohol_Female_Stroke_0	1.144964
Alcohol_Female_Stroke_1	0.801475
Alcohol_Female_Stroke_2	0.915971
Alcohol_Female_Stroke_3	1.030468
Alcohol_Female_Stroke_4	1.030468
Driving_Male___19	0
