Specific Risk Factors	Risk Coefficient
Age	Life Table
Sex	Life Table
Height_Male_Stroke	0.440669147
Height_Male_Heart_Diseases	0.393482214
Height_Male_Cancer	0.711000422
Height_Female_Stroke	0.102437155
Height_Female_Heart_Diseases	1
Height_Female_Cancer	1
Weight_Male_Heart_Diseases___65_1	0.577200577
Weight_Male_Heart_Diseases___65_2	0.634920635
Weight_Male_Heart_Diseases___65_3	1.16017316
Weight_Male_Heart_Diseases___65_4	1.627705628
Weight_Male_Heart_Diseases__65_1	1.298701299
Weight_Male_Heart_Diseases__65_2	0.857142857
Weight_Male_Heart_Diseases__65_3	0.857142857
Weight_Male_Heart_Diseases__65_4	0.987012987
Weight_Male_Cancer_1	1.072386059
Weight_Male_Cancer_2	1.211796247
Weight_Male_Cancer_3	0.847184987
Weight_Male_Cancer_4	0.868632708
Weight_Female_Heart_Diseases_1	0.587371512
Weight_Female_Heart_Diseases_2	0.910425844
Weight_Female_Heart_Diseases_3	1.233480176
Weight_Female_Heart_Diseases_4	1.268722467
Weight_Female_Cancer_1	1.075268817
Weight_Female_Cancer_2	0.88172043
Weight_Female_Cancer_3	1.311827957
Weight_Female_Cancer_4	0.731182796
Race	Life Table
Income	________________
Education_Male_0	1.08688
Education_Male_1	1.02348
Education_Male_2	0.90573
Education_Female_0	1.12586
Education_Female_1	1.03072
Education_Female_2	0.79286
Marital_Status_Male_Rich__55_Heart_Diseases_0	0.826569242
Marital_Status_Male_Rich__55_Heart_Diseases_1	1.47129325
Marital_Status_Male_Rich___55_Heart_Diseases_0	0.913951469
Marital_Status_Male_Rich___55_Heart_Diseases_1	1.233834483
Marital_Status_Male_Rich__55_Cancer_0	0.909479505
Marital_Status_Male_Rich__55_Cancer_1	1.245986922
Marital_Status_Male_Rich___55_Cancer_0	0.913951469
Marital_Status_Male_Rich___55_Cancer_1	1.233834483
Marital_Status_Male_Poor__55_Heart_Diseases_0	0.839637612
Marital_Status_Male_Poor__55_Heart_Diseases_1	1.435780317
Marital_Status_Male_Poor___55_Heart_Diseases_0	0.911710003
Marital_Status_Male_Poor___55_Heart_Diseases_1	1.239925604
Marital_Status_Male_Poor__55_Cancer_0	0.66771275
Marital_Status_Male_Poor__55_Cancer_1	1.902981337
Marital_Status_Male_Poor___55_Cancer_0	1.030492266
Marital_Status_Male_Poor___55_Cancer_1	0.917138117
Marital_Status_Female_Rich__55_Heart_Diseases_0	0.917262888
Marital_Status_Female_Rich__55_Heart_Diseases_1	1.320858558
Marital_Status_Female_Rich___55_Heart_Diseases_0	1.036108377
Marital_Status_Female_Rich___55_Heart_Diseases_1	0.859969953
Marital_Status_Female_Rich__55_Cancer_0	1.040528589
Marital_Status_Female_Rich__55_Cancer_1	0.842828157
Marital_Status_Female_Rich___55_Cancer_0	1.029548028
Marital_Status_Female_Rich___55_Cancer_1	0.885411304
Marital_Status_Female_Poor__55_Heart_Diseases_0	1.010356151
Marital_Status_Female_Poor__55_Heart_Diseases_1	0.959838343
Marital_Status_Female_Poor___55_Heart_Diseases_0	1.012453174
Marital_Status_Female_Poor___55_Heart_Diseases_1	0.951705984
Marital_Status_Female_Poor__55_Cancer_0	1.025220422
Marital_Status_Female_Poor__55_Cancer_1	0.902193972
Marital_Status_Female_Poor___55_Cancer_0	0.987849452
Marital_Status_Female_Poor___55_Cancer_1	1.047120419
Fitness_Male_Heart_Diseases_0	2.650896
Fitness_Male_Heart_Diseases_1_2	0.840528
Fitness_Male_Heart_Diseases_3_4	0.334056
Fitness_Male_cancer_0	2.291261
Fitness_Male_cancer_1_2	0.823951
Fitness_Male_cancer_3_4	0.530489
Fitness_Female_Heart_Diseases_0	2.500016
Fitness_Female_Heart_Diseases_1_2	0.979736
Fitness_Female_Heart_Diseases_3_4	0.270272
Fitness_Female_cancer_0	2.161869
Fitness_Female_cancer_1_2	1.286511
Fitness_Female_cancer_3_4	0.13263
