NonWhite Female	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
NonWhite Female 00	0.0135800000	0.0136730516	0.0007072268	0.0000000000	0.0000000000	0.0014507217	0.0025206289	0.0003445464	0.0000000000	0.0007434948	0.0000000000	0.0000000000	0.0016320619	0.0057303505	0.0000151469	0.0000204382	0.0000648139	0.0001039490	0.0000210975	0.0000000000	0.0000992832	0.0000341482	0.0001851438
NonWhite Female 01	0.0008000000	0.0008003202	0.0000413959	0.0000000000	0.0000000000	0.0000849146	0.0001475391	0.0000201672	0.0000000000	0.0000435187	0.0000000000	0.0000000000	0.0000955289	0.0003354127	0.0000008866	0.0000011963	0.0000037937	0.0000060844	0.0000012349	0.0000000000	0.0000058113	0.0000019988	0.0000108370
NonWhite Female 02	0.0006500000	0.0006502113	0.0000336316	0.0000000000	0.0000000000	0.0000689879	0.0001198665	0.0000163846	0.0000000000	0.0000353563	0.0000000000	0.0000000000	0.0000776114	0.0002725024	0.0000007203	0.0000009719	0.0000030822	0.0000049432	0.0000010033	0.0000000000	0.0000047213	0.0000016239	0.0000088044
NonWhite Female 03	0.0005200000	0.0005201352	0.0000269035	0.0000000000	0.0000000000	0.0000551868	0.0000958870	0.0000131069	0.0000000000	0.0000282832	0.0000000000	0.0000000000	0.0000620851	0.0002179877	0.0000005762	0.0000007775	0.0000024656	0.0000039543	0.0000008026	0.0000000000	0.0000037768	0.0000012990	0.0000070430
NonWhite Female 04	0.0004200000	0.0004200882	0.0000217287	0.0000000000	0.0000000000	0.0000445717	0.0000774433	0.0000105858	0.0000000000	0.0000228430	0.0000000000	0.0000000000	0.0000501432	0.0001760582	0.0000004654	0.0000006279	0.0000019913	0.0000031937	0.0000006482	0.0000000000	0.0000030504	0.0000010492	0.0000056883
NonWhite Female 05	0.0003400000	0.0003400578	0.0000178041	0.0000000000	0.0000164688	0.0000529671	0.0000556377	0.0000048961	0.0000000000	0.0000213649	0.0000000000	0.0000000000	0.0000324924	0.0001028185	0.0000009914	0.0000013378	0.0000042423	0.0000068038	0.0000013809	0.0000000000	0.0000064985	0.0000022351	0.0000121183
NonWhite Female 06	0.0002700000	0.0002700365	0.0000141380	0.0000000000	0.0000130777	0.0000420607	0.0000441814	0.0000038880	0.0000000000	0.0000169656	0.0000000000	0.0000000000	0.0000258019	0.0000816471	0.0000007873	0.0000010623	0.0000033688	0.0000054029	0.0000010966	0.0000000000	0.0000051604	0.0000017749	0.0000096231
NonWhite Female 07	0.0002300000	0.0002300265	0.0000120433	0.0000000000	0.0000111400	0.0000358287	0.0000376352	0.0000033119	0.0000000000	0.0000144519	0.0000000000	0.0000000000	0.0000219790	0.0000695499	0.0000006706	0.0000009049	0.0000028696	0.0000046023	0.0000009341	0.0000000000	0.0000043958	0.0000015119	0.0000081973
NonWhite Female 08	0.0001900000	0.0001900181	0.0000099486	0.0000000000	0.0000092024	0.0000295971	0.0000310893	0.0000027359	0.0000000000	0.0000119383	0.0000000000	0.0000000000	0.0000181562	0.0000574531	0.0000005540	0.0000007475	0.0000023705	0.0000038019	0.0000007716	0.0000000000	0.0000036312	0.0000012489	0.0000067715
NonWhite Female 09	0.0001700000	0.0001700145	0.0000089013	0.0000000000	0.0000082337	0.0000264813	0.0000278165	0.0000024479	0.0000000000	0.0000106815	0.0000000000	0.0000000000	0.0000162448	0.0000514049	0.0000004957	0.0000006688	0.0000021210	0.0000034016	0.0000006904	0.0000000000	0.0000032489	0.0000011175	0.0000060587
NonWhite Female 10	0.0001600000	0.0001600128	0.0000083776	0.0000000000	0.0000077493	0.0000249235	0.0000261801	0.0000023038	0.0000000000	0.0000100532	0.0000000000	0.0000000000	0.0000152892	0.0000483808	0.0000004665	0.0000006295	0.0000019962	0.0000032015	0.0000006498	0.0000000000	0.0000030578	0.0000010517	0.0000057022
NonWhite Female 11	0.0001700000	0.0001700145	0.0000089013	0.0000000000	0.0000082337	0.0000264813	0.0000278165	0.0000024479	0.0000000000	0.0000106815	0.0000000000	0.0000000000	0.0000162448	0.0000514049	0.0000004957	0.0000006688	0.0000021210	0.0000034016	0.0000006904	0.0000000000	0.0000032489	0.0000011175	0.0000060587
NonWhite Female 12	0.0001900000	0.0001900181	0.0000099486	0.0000000000	0.0000092024	0.0000295971	0.0000310893	0.0000027359	0.0000000000	0.0000119383	0.0000000000	0.0000000000	0.0000181562	0.0000574531	0.0000005540	0.0000007475	0.0000023705	0.0000038019	0.0000007716	0.0000000000	0.0000036312	0.0000012489	0.0000067715
NonWhite Female 13	0.0002300000	0.0002300265	0.0000120433	0.0000000000	0.0000111400	0.0000358287	0.0000376352	0.0000033119	0.0000000000	0.0000144519	0.0000000000	0.0000000000	0.0000219790	0.0000695499	0.0000006706	0.0000009049	0.0000028696	0.0000046023	0.0000009341	0.0000000000	0.0000043958	0.0000015119	0.0000081973
NonWhite Female 14	0.0003000000	0.0003000450	0.0000157092	0.0000000000	0.0000145310	0.0000467348	0.0000490911	0.0000043200	0.0000000000	0.0000188510	0.0000000000	0.0000000000	0.0000286692	0.0000907204	0.0000008748	0.0000011803	0.0000037431	0.0000060033	0.0000012184	0.0000000000	0.0000057338	0.0000019721	0.0000106924
NonWhite Female 15	0.0003600000	0.0003600648	0.0000242011	0.0000000000	0.0000082638	0.0000718162	0.0000161341	0.0000064930	0.0000000000	0.0000212497	0.0000121989	0.0000000000	0.0000790962	0.0000946400	0.0000007231	0.0000009757	0.0000030943	0.0000049626	0.0000010072	0.0000000000	0.0000047398	0.0000016303	0.0000088389
NonWhite Female 16	0.0004300000	0.0004300925	0.0000289079	0.0000000000	0.0000098710	0.0000857835	0.0000192719	0.0000077558	0.0000000000	0.0000253825	0.0000145714	0.0000000000	0.0000944793	0.0001130462	0.0000008638	0.0000011655	0.0000036960	0.0000059277	0.0000012031	0.0000000000	0.0000056617	0.0000019473	0.0000105579
NonWhite Female 17	0.0004900000	0.0004901201	0.0000329425	0.0000000000	0.0000112487	0.0000977562	0.0000219617	0.0000088382	0.0000000000	0.0000289251	0.0000166052	0.0000000000	0.0001076657	0.0001288239	0.0000009843	0.0000013282	0.0000042119	0.0000067551	0.0000013710	0.0000000000	0.0000064519	0.0000022191	0.0000120315
NonWhite Female 18	0.0005500000	0.0005501513	0.0000369774	0.0000000000	0.0000126264	0.0001097296	0.0000246516	0.0000099208	0.0000000000	0.0000324679	0.0000186390	0.0000000000	0.0001208529	0.0001446026	0.0000011049	0.0000014908	0.0000047278	0.0000075825	0.0000015389	0.0000000000	0.0000072421	0.0000024909	0.0000135051
NonWhite Female 19	0.0006100000	0.0006101861	0.0000410125	0.0000000000	0.0000140043	0.0001217038	0.0000273417	0.0000110034	0.0000000000	0.0000360110	0.0000206730	0.0000000000	0.0001340409	0.0001603823	0.0000012254	0.0000016535	0.0000052437	0.0000084099	0.0000017069	0.0000000000	0.0000080324	0.0000027627	0.0000149789
NonWhite Female 20	0.0006700000	0.0006702246	0.0000450479	0.0000000000	0.0000153822	0.0001336787	0.0000300319	0.0000120860	0.0000000000	0.0000395542	0.0000227071	0.0000000000	0.0001472297	0.0001761628	0.0000013460	0.0000018162	0.0000057596	0.0000092374	0.0000018748	0.0000000000	0.0000088227	0.0000030346	0.0000164527
NonWhite Female 21	0.0007500000	0.0007502814	0.0000504287	0.0000000000	0.0000172196	0.0001496463	0.0000336192	0.0000135297	0.0000000000	0.0000442789	0.0000254194	0.0000000000	0.0001648159	0.0001972051	0.0000015068	0.0000020332	0.0000064476	0.0000103407	0.0000020988	0.0000000000	0.0000098766	0.0000033970	0.0000184179
NonWhite Female 22	0.0008000000	0.0008003202	0.0000537920	0.0000000000	0.0000183680	0.0001596267	0.0000358613	0.0000144320	0.0000000000	0.0000472320	0.0000271147	0.0000000000	0.0001758080	0.0002103574	0.0000016073	0.0000021688	0.0000068776	0.0000110304	0.0000022387	0.0000000000	0.0000105353	0.0000036236	0.0000196463
NonWhite Female 23	0.0008500000	0.0008503615	0.0000571554	0.0000000000	0.0000195165	0.0001696076	0.0000381036	0.0000153344	0.0000000000	0.0000501853	0.0000288101	0.0000000000	0.0001868007	0.0002235103	0.0000017078	0.0000023044	0.0000073077	0.0000117201	0.0000023787	0.0000000000	0.0000111940	0.0000038502	0.0000208747
