NonWhite Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
NonWhite Male 00	0.0165400000	0.0166783131	0.0005373910	0.0000000000	0.0003070806	0.0019768311	0.0040304324	0.0006525462	0.0000000000	0.0010172044	0.0000000000	0.0000000000	0.0016121730	0.0059880710	0.0000362734	0.0000245099	0.0000511025	0.0001732411	0.0000000000	0.0000895028	0.0000009534	0.0000253313	0.0001556691
NonWhite Male 01	0.0011200000	0.0011206277	0.0000361077	0.0000000000	0.0000206330	0.0001328247	0.0002708076	0.0000438450	0.0000000000	0.0000683467	0.0000000000	0.0000000000	0.0001083230	0.0004023427	0.0000024372	0.0000016468	0.0000034336	0.0000116402	0.0000000000	0.0000060138	0.0000000641	0.0000017020	0.0000104595
NonWhite Male 02	0.0007900000	0.0007903122	0.0000254646	0.0000000000	0.0000145512	0.0000936734	0.0001909845	0.0000309213	0.0000000000	0.0000482009	0.0000000000	0.0000000000	0.0000763938	0.0002837485	0.0000017188	0.0000011614	0.0000024215	0.0000082091	0.0000000000	0.0000042411	0.0000000452	0.0000012003	0.0000073765
NonWhite Male 03	0.0005800000	0.0005801683	0.0000186936	0.0000000000	0.0000106820	0.0000687656	0.0001402018	0.0000226993	0.0000000000	0.0000353843	0.0000000000	0.0000000000	0.0000560807	0.0002082998	0.0000012618	0.0000008526	0.0000017776	0.0000060263	0.0000000000	0.0000031134	0.0000000332	0.0000008812	0.0000054151
NonWhite Male 04	0.0004700000	0.0004701105	0.0000151474	0.0000000000	0.0000086557	0.0000557208	0.0001136055	0.0000183933	0.0000000000	0.0000286719	0.0000000000	0.0000000000	0.0000454422	0.0001687854	0.0000010224	0.0000006909	0.0000014404	0.0000048831	0.0000000000	0.0000025228	0.0000000269	0.0000007140	0.0000043878
NonWhite Male 05	0.0004100000	0.0004100841	0.0000183831	0.0000000000	0.0000144944	0.0000777746	0.0000940365	0.0000056563	0.0000000000	0.0000180296	0.0000098986	0.0000000000	0.0000427760	0.0000982788	0.0000020044	0.0000013544	0.0000028239	0.0000095731	0.0000000000	0.0000049458	0.0000000527	0.0000013998	0.0000086021
NonWhite Male 06	0.0003800000	0.0003800722	0.0000170377	0.0000000000	0.0000134336	0.0000720827	0.0000871545	0.0000052424	0.0000000000	0.0000167101	0.0000091742	0.0000000000	0.0000396455	0.0000910863	0.0000018577	0.0000012553	0.0000026172	0.0000088725	0.0000000000	0.0000045839	0.0000000488	0.0000012973	0.0000079726
NonWhite Male 07	0.0003500000	0.0003500613	0.0000156924	0.0000000000	0.0000123729	0.0000663909	0.0000802727	0.0000048284	0.0000000000	0.0000153906	0.0000084498	0.0000000000	0.0000365150	0.0000838940	0.0000017111	0.0000011562	0.0000024106	0.0000081720	0.0000000000	0.0000042219	0.0000000450	0.0000011949	0.0000073431
NonWhite Male 08	0.0002900000	0.0002900421	0.0000130019	0.0000000000	0.0000102515	0.0000550080	0.0000665096	0.0000040006	0.0000000000	0.0000127518	0.0000070010	0.0000000000	0.0000302544	0.0000695101	0.0000014177	0.0000009579	0.0000019973	0.0000067708	0.0000000000	0.0000034981	0.0000000373	0.0000009900	0.0000060841
NonWhite Male 09	0.0002200000	0.0002200242	0.0000098632	0.0000000000	0.0000077767	0.0000417287	0.0000504538	0.0000030348	0.0000000000	0.0000096735	0.0000053109	0.0000000000	0.0000229508	0.0000527299	0.0000010754	0.0000007267	0.0000015151	0.0000051363	0.0000000000	0.0000026536	0.0000000283	0.0000007510	0.0000046153
NonWhite Male 10	0.0001600000	0.0001600128	0.0000071730	0.0000000000	0.0000056556	0.0000303473	0.0000366926	0.0000022071	0.0000000000	0.0000070350	0.0000038624	0.0000000000	0.0000166910	0.0000383479	0.0000007821	0.0000005285	0.0000011019	0.0000037354	0.0000000000	0.0000019298	0.0000000206	0.0000005462	0.0000033565
NonWhite Male 11	0.0001700000	0.0001700145	0.0000076213	0.0000000000	0.0000060091	0.0000322441	0.0000389861	0.0000023450	0.0000000000	0.0000074748	0.0000041038	0.0000000000	0.0000177343	0.0000407448	0.0000008310	0.0000005615	0.0000011707	0.0000039689	0.0000000000	0.0000020505	0.0000000218	0.0000005803	0.0000035663
NonWhite Male 12	0.0002900000	0.0002900421	0.0000130019	0.0000000000	0.0000102515	0.0000550080	0.0000665096	0.0000040006	0.0000000000	0.0000127518	0.0000070010	0.0000000000	0.0000302544	0.0000695101	0.0000014177	0.0000009579	0.0000019973	0.0000067708	0.0000000000	0.0000034981	0.0000000373	0.0000009900	0.0000060841
NonWhite Male 13	0.0005500000	0.0005501513	0.0000246620	0.0000000000	0.0000194450	0.0001043390	0.0001261554	0.0000075883	0.0000000000	0.0000241877	0.0000132795	0.0000000000	0.0000573865	0.0001318466	0.0000026891	0.0000018170	0.0000037884	0.0000128429	0.0000000000	0.0000066351	0.0000000707	0.0000018779	0.0000115403
NonWhite Male 14	0.0009200000	0.0009204235	0.0000412604	0.0000000000	0.0000325322	0.0001745631	0.0002110626	0.0000126955	0.0000000000	0.0000404669	0.0000222171	0.0000000000	0.0000960097	0.0002205842	0.0000044989	0.0000030399	0.0000063381	0.0000214867	0.0000000000	0.0000111008	0.0000001182	0.0000031418	0.0000193073
NonWhite Male 15	0.0013300000	0.0013308852	0.0000424839	0.0000000000	0.0000128488	0.0002010213	0.0000872474	0.0000064244	0.0000000000	0.0000246614	0.0000955369	0.0000000000	0.0007031600	0.0001237213	0.0000022015	0.0000014875	0.0000031015	0.0000105143	0.0000000000	0.0000054321	0.0000000579	0.0000015374	0.0000094478
NonWhite Male 16	0.0017200000	0.0017214809	0.0000549523	0.0000000000	0.0000166197	0.0002600181	0.0001128532	0.0000083099	0.0000000000	0.0000318991	0.0001235756	0.0000000000	0.0009095274	0.0001600318	0.0000028476	0.0000019241	0.0000040117	0.0000136000	0.0000000000	0.0000070263	0.0000000748	0.0000019886	0.0000122206
NonWhite Male 17	0.0020400000	0.0020420836	0.0000651864	0.0000000000	0.0000197149	0.0003084430	0.0001338706	0.0000098575	0.0000000000	0.0000378399	0.0001465899	0.0000000000	0.0010789146	0.0001898356	0.0000033779	0.0000022825	0.0000047589	0.0000161329	0.0000000000	0.0000083348	0.0000000888	0.0000023589	0.0000144965
NonWhite Male 18	0.0022500000	0.0022525351	0.0000719043	0.0000000000	0.0000217467	0.0003402303	0.0001476670	0.0000108733	0.0000000000	0.0000417396	0.0001616971	0.0000000000	0.0011901046	0.0002093995	0.0000037260	0.0000025177	0.0000052493	0.0000177955	0.0000000000	0.0000091938	0.0000000979	0.0000026020	0.0000159905
NonWhite Male 19	0.0023900000	0.0023928606	0.0000763837	0.0000000000	0.0000231014	0.0003614255	0.0001568661	0.0000115507	0.0000000000	0.0000443398	0.0001717703	0.0000000000	0.0012642442	0.0002224444	0.0000039582	0.0000026745	0.0000055763	0.0000189041	0.0000000000	0.0000097665	0.0000001040	0.0000027641	0.0000169866
NonWhite Male 20	0.0025000000	0.0025031302	0.0000799037	0.0000000000	0.0000241660	0.0003780810	0.0001640950	0.0000120830	0.0000000000	0.0000463831	0.0001796859	0.0000000000	0.0013225040	0.0002326952	0.0000041406	0.0000027978	0.0000058333	0.0000197752	0.0000000000	0.0000102166	0.0000001088	0.0000028915	0.0000177694
NonWhite Male 21	0.0026300000	0.0026334645	0.0000840642	0.0000000000	0.0000254243	0.0003977671	0.0001726391	0.0000127121	0.0000000000	0.0000487982	0.0001890419	0.0000000000	0.0013913649	0.0002448113	0.0000043562	0.0000029434	0.0000061370	0.0000208049	0.0000000000	0.0000107486	0.0000001145	0.0000030421	0.0000186946
NonWhite Male 22	0.0027400000	0.0027437607	0.0000875850	0.0000000000	0.0000264891	0.0004144266	0.0001798697	0.0000132446	0.0000000000	0.0000508420	0.0001969595	0.0000000000	0.0014496387	0.0002550646	0.0000045386	0.0000030667	0.0000063940	0.0000216763	0.0000000000	0.0000111988	0.0000001193	0.0000031695	0.0000194776
NonWhite Male 23	0.0028300000	0.0028340120	0.0000904660	0.0000000000	0.0000273604	0.0004280585	0.0001857862	0.0000136802	0.0000000000	0.0000525144	0.0002034381	0.0000000000	0.0014973221	0.0002634546	0.0000046879	0.0000031676	0.0000066044	0.0000223893	0.0000000000	0.0000115671	0.0000001232	0.0000032737	0.0000201183
NonWhite Male 24	0.0029000000	0.0029042131	0.0000927069	0.0000000000	0.0000280382	0.0004386619	0.0001903883	0.0000140191	0.0000000000	0.0000538152	0.0002084775	0.0000000000	0.0015344122	0.0002699806	0.0000048040	0.0000032461	0.0000067680	0.0000229439	0.0000000000	0.0000118536	0.0000001263	0.0000033548	0.0000206166
NonWhite Male 25	0.0029600000	0.0029643895	0.0003154442	0.0000633508	0.0000000000	0.0001779062	0.0001835030	0.0000488230	0.0000413209	0.0008361831	0.0001071724	0.0000544198	0.0004271417	0.0005035913	0.0000133949	0.0000090509	0.0000188709	0.0000639738	0.0000000000	0.0000330512	0.0000003521	0.0000093542	0.0000574849
