White Male	 Rate	 Lambda	 Heart Diseases	 Stroke	 COPD	 Motor Accidents	 Other Accidents	 Pneumonia/Influenza	 Diabetes	 AIDS	 Suicide	 Cirrhosis	 Homicide	 Residual	 Esophagus, Mouth, Pharynx	 Stomach	 Colorectal	 Lung	 Ovary	 Prostate	 Breast	 Pancreas	 Other Cancers
White Male 00	0.0082400000	0.0082741365	0.0002763951	0.0000000000	0.0000000000	0.0011587335	0.0021048553	0.0001913505	0.0000000000	0.0000744141	0.0000000000	0.0000000000	0.0004323103	0.0033096546	0.0000331779	0.0000184262	0.0000725583	0.0002376496	0.0000000000	0.0000834390	0.0000008695	0.0000336483	0.0002466543
White Male 01	0.0006700000	0.0006702246	0.0000223887	0.0000000000	0.0000000000	0.0000938601	0.0001704982	0.0000154998	0.0000000000	0.0000060277	0.0000000000	0.0000000000	0.0000350182	0.0002680898	0.0000026875	0.0000014926	0.0000058774	0.0000192502	0.0000000000	0.0000067588	0.0000000704	0.0000027256	0.0000199796
White Male 02	0.0004800000	0.0004801152	0.0000160381	0.0000000000	0.0000000000	0.0000672367	0.0001221364	0.0000111033	0.0000000000	0.0000043180	0.0000000000	0.0000000000	0.0000250853	0.0001920461	0.0000019252	0.0000010692	0.0000042103	0.0000137899	0.0000000000	0.0000048416	0.0000000505	0.0000019525	0.0000143124
White Male 03	0.0003600000	0.0003600648	0.0000120279	0.0000000000	0.0000000000	0.0000504245	0.0000915968	0.0000083270	0.0000000000	0.0000032383	0.0000000000	0.0000000000	0.0000188128	0.0001440259	0.0000014438	0.0000008019	0.0000031575	0.0000103418	0.0000000000	0.0000036310	0.0000000378	0.0000014643	0.0000107336
White Male 04	0.0002900000	0.0002900421	0.0000096888	0.0000000000	0.0000000000	0.0000406183	0.0000737837	0.0000067076	0.0000000000	0.0000026085	0.0000000000	0.0000000000	0.0000151542	0.0001160168	0.0000011630	0.0000006459	0.0000025435	0.0000083306	0.0000000000	0.0000029249	0.0000000305	0.0000011795	0.0000086462
White Male 05	0.0002600000	0.0002600338	0.0000084739	0.0000030161	0.0000035188	0.0000658523	0.0000479709	0.0000035906	0.0000000000	0.0000032316	0.0000130699	0.0000000000	0.0000127108	0.0000643442	0.0000015645	0.0000008689	0.0000034215	0.0000112064	0.0000000000	0.0000039346	0.0000000410	0.0000015867	0.0000116310
White Male 06	0.0002400000	0.0002400288	0.0000078220	0.0000027841	0.0000032481	0.0000607861	0.0000442804	0.0000033144	0.0000000000	0.0000029830	0.0000120644	0.0000000000	0.0000117330	0.0000593940	0.0000014441	0.0000008020	0.0000031583	0.0000103443	0.0000000000	0.0000036319	0.0000000378	0.0000014646	0.0000107362
White Male 07	0.0002300000	0.0002300265	0.0000074960	0.0000026681	0.0000031128	0.0000582530	0.0000424351	0.0000031763	0.0000000000	0.0000028587	0.0000115617	0.0000000000	0.0000112440	0.0000569190	0.0000013840	0.0000007686	0.0000030267	0.0000099132	0.0000000000	0.0000034805	0.0000000363	0.0000014036	0.0000102888
White Male 08	0.0002100000	0.0002100221	0.0000068441	0.0000024360	0.0000028421	0.0000531870	0.0000387447	0.0000029001	0.0000000000	0.0000026101	0.0000105562	0.0000000000	0.0000102662	0.0000519690	0.0000012636	0.0000007018	0.0000027635	0.0000090511	0.0000000000	0.0000031779	0.0000000331	0.0000012815	0.0000093941
White Male 09	0.0001800000	0.0001800162	0.0000058663	0.0000020880	0.0000024360	0.0000455882	0.0000332093	0.0000024857	0.0000000000	0.0000022372	0.0000090480	0.0000000000	0.0000087995	0.0000445442	0.0000010831	0.0000006015	0.0000023686	0.0000077580	0.0000000000	0.0000027238	0.0000000284	0.0000010984	0.0000080519
White Male 10	0.0001600000	0.0001600128	0.0000052144	0.0000018560	0.0000021653	0.0000405224	0.0000295191	0.0000022095	0.0000000000	0.0000019886	0.0000080426	0.0000000000	0.0000078217	0.0000395944	0.0000009627	0.0000005347	0.0000021054	0.0000068959	0.0000000000	0.0000024212	0.0000000252	0.0000009764	0.0000071572
White Male 11	0.0001600000	0.0001600128	0.0000052144	0.0000018560	0.0000021653	0.0000405224	0.0000295191	0.0000022095	0.0000000000	0.0000019886	0.0000080426	0.0000000000	0.0000078217	0.0000395944	0.0000009627	0.0000005347	0.0000021054	0.0000068959	0.0000000000	0.0000024212	0.0000000252	0.0000009764	0.0000071572
White Male 12	0.0002300000	0.0002300265	0.0000074960	0.0000026681	0.0000031128	0.0000582530	0.0000424351	0.0000031763	0.0000000000	0.0000028587	0.0000115617	0.0000000000	0.0000112440	0.0000569190	0.0000013840	0.0000007686	0.0000030267	0.0000099132	0.0000000000	0.0000034805	0.0000000363	0.0000014036	0.0000102888
White Male 13	0.0003700000	0.0003700685	0.0000120597	0.0000042924	0.0000050078	0.0000937180	0.0000682700	0.0000051100	0.0000000000	0.0000045990	0.0000186005	0.0000000000	0.0000180895	0.0000915718	0.0000022265	0.0000012366	0.0000048693	0.0000159485	0.0000000000	0.0000055995	0.0000000584	0.0000022581	0.0000165528
White Male 14	0.0005800000	0.0005801683	0.0000189063	0.0000067294	0.0000078509	0.0001469247	0.0001070291	0.0000080112	0.0000000000	0.0000072100	0.0000291606	0.0000000000	0.0000283595	0.0001435600	0.0000034906	0.0000019386	0.0000076338	0.0000250030	0.0000000000	0.0000087786	0.0000000915	0.0000035401	0.0000259503
White Male 15	0.0008000000	0.0008003202	0.0000184664	0.0000036273	0.0000029678	0.0002964986	0.0001017536	0.0000034389	0.0000000000	0.0000057001	0.0001464592	0.0000000000	0.0000985031	0.0000873856	0.0000016223	0.0000009010	0.0000035478	0.0000116202	0.0000000000	0.0000040799	0.0000000425	0.0000016453	0.0000120605
White Male 16	0.0010100000	0.0010105104	0.0000233163	0.0000045800	0.0000037473	0.0003743689	0.0001284774	0.0000043421	0.0000000000	0.0000071971	0.0001849242	0.0000000000	0.0001243733	0.0001103359	0.0000020483	0.0000011376	0.0000044796	0.0000146721	0.0000000000	0.0000051514	0.0000000537	0.0000020774	0.0000152280
