SellingPrice, CrimeRate, MilesPhila, PopChg, Name, County
140.463,2.97,10,-1,Abington,Montgome
113.033,2.41,18,4,Ambler,Montgome
124.186,1.95,25,8,Aston,Delaware
110.49,4.94,25,2.7,Bensalem,Bucks
79.124,5.41,19,3.9,Bristol B.,Bucks
92.634,4.86,20,0.6,Bristol T.,Bucks
89.246,3.08,15,-2.6,Brookhaven,Delaware
195.145,1.08,20,-3.5,Bryn Athyn,Montgome
297.342,2.02,14,0.6,Bryn Mawr,Montgome
264.298,2.04,26,6,Buckingham,Bucks
134.342,1.73,31,4.2,Chalfont,Bucks
284.432,,31,-2.1,Charlestowne,Chester
147.6,5.03,9,-1,Cheltenham,Montgome
77.37,3.42,10,-1.2,Clifton,Delaware
170.822,3.37,32,2.4,Collegeville,Montgome
66.803,,12,-0.9,Collindale,Delaware
92.285,,16,3.2,Conshohocken,Montgome
40.642,4.57,15,0,Darby Bor.,Delaware
71.359,2.23,8,1.6,Darby Town,Delaware
104.923,4.81,21,6.9,Downingtown,Chester
190.317,1.94,26,1.9,Doylestown,Bucks
215.512,7.19,26,5.8,E. Bradford,Chester
178.105,4.51,25,2.3,E. Goshen,Chester
131.025,3.13,19,-1.8,E. Norriton,Montgome
149.844,2.49,22,6.4,E. Pikeland,Chester
170.556,2.72,30,4.6,E. Whiteland,Chester
280.969,1.77,14,2.9,Easttown,Chester
114.233,2.9,30,1.3,Falls Town,Bucks
74.502,2.14,15,-3.2,Follcroft,Delaware
475.112,2.86,12,,Gladwyne,Montgome
97.167,2.93,10,0.2,Glenolden,Delaware
114.572,1.75,20,5.2,Hatboro,Montgome
436.348,1.65,10,-0.7,Haverford,Delaware
389.302,1.78,20,1.5,Horsham,Montgome
122.392,1.73,10,1.9,Jenkintown,Montgome
130.436,3.12,17,-0.4,L Southampton,Delaware
272.79,1.45,20,-5.1,L. Gwynedd,Montgome
194.435,1.57,32,15,L. Makefield,Bucks
299.621,2.86,10,1.4,L. Merion,Montgome
210.884,2.08,20,0.1,L. Moreland,Montgome
135.525,,23,15.5,Langhorn,Bucks
150.833,,23,6.8,Langhorn M.,Bucks
112.471,2.93,35,3.4,Lansdale,Montgome
93.738,1.93,7,-0.4,Lansdown,Delaware
121.024,3.95,35,26.9,Limerick,Montgome
156.035,1.3,23,6.3,Malvern,Chester
185.404,2.41,10,0.9,Marple,Delaware
126.16,3.8,20,-2.4,Media,Delaware
179.908,,15,-1.1,Middletown,Delaware
143.072,4.01,23,1.6,Middletown,Bucks
96.769,3.61,15,5.1,Morrisville,Bucks
94.014,2.66,14,0.5,Morton,Delaware
118.214,2.51,25,5.7,N. Wales,Montgome
157.446,1.46,15,3.1,Narberth,Montgome
150.283,1.82,15,0.9,Nether,Delaware
153.842,1.53,23,8.5,Newtown,Bucks
197.214,1.52,25,2.1,Newtown B.,Bucks
206.127,1.74,15,2.7,Newtown T.,Delaware
71.981,7.33,19,4.9,Norristown,Montgome
169.401,0.71,22,1.5,Northampton,Bucks
99.843,1.25,12,-3.7,Norwood,Delaware
117.53,,42,10.3,Perkiomen,Montgome
60,4.58,18,-1.4,"Phila, Far NE",Phila
28,4.49,5.5,-8.4,"Phila, N",Phila
60,6.5,9,-4.9,"Phila, NE",Phila
61.8,4.99,9,-6.4,"Phila, NW",Phila
38,5.48,4.5,-5.1,"Phila, SW",Phila
38,5.35,2,-9.2,"Phila, South",Phila
42,6.99,4,-5.7,"Phila, West",Phila
96.2,36.61,0,4.8,"Phila,CC",Phila
103.087,2.46,24,3.9,Phoenixville,Chester
147.72,5.86,25,1.5,Plymouth,Montgome
78.175,5.32,41,2.2,Pottstown,Montgome
92.215,1.74,14,7.8,Prospect Park,Delaware
271.804,1.55,17,1.2,Radnor,Delaware
119.566,1.45,12,-2.9,Ridley Park,Delaware
100.231,2.41,15,1.9,Ridley Town,Delaware
284.833,,18,-1.3,Rose Valley,Delaware
95.831,2.12,32,3.2,Royersford,Montgome
123.9,,15,5.6,Rutledge,Delaware
229.711,0.98,22,5.3,Schuylkill,Chester
74.308,2.99,7,1.8,Sharon Hill,Delaware
259.506,0.72,40,17.4,Solebury,Bucks
159.573,1.94,15,-2.1,Springfield,Montgome
147.176,4.11,12,-1.7,Springfield,Delaware
205.732,1.12,12,-0.2,Swarthmore,Delaware
215.783,2.12,20,1.1,Tredyffin,Chester
116.71,4.28,20,12.9,U. Chichester,Delaware
359.112,0.94,36,4,U. Makefield,Bucks
189.959,6.17,22,-2.1,U. Merion,Montgome
133.198,1.94,22,-2,U. Moreland,Montgome
242.821,0.66,21,1.6,U. Providence,Delaware
142.811,1.59,20,-1.6,U. Southampton,Bucks
200.498,1.88,36,11,U. Uwchlan,Chester
199.065,1.32,20,7.8,Upper Darby,Montgome
93.648,3.45,8,-0.7,Upper Darby,Delaware
163.001,2.21,50,8,Uwchlan T.,Chester
436.348,2.21,15,1.3,Villanova,Montgome
124.478,7.19,22,4.6,W. Chester,Chester
168.276,3.19,26,5.9,W. Goshen,Chester
276.744,,33,6.1,W. Pikeland,Chester
114.157,4.46,38,14.6,W. Whiteland,Chester
130.088,2.86,19,-0.2,Warminster,Bucks
152.624,2.4,19,23.1,Warrington,Bucks
174.232,1.38,25,4.7,Westtown,Chester
196.515,2.99,16,1.8,Whitemarsh,Montgome
247.33,,14,13.2,Whitpain,Montgome
232.714,0.99,21,0.2,Willistown,Chester
245.92,2.26,10,0.3,Wynnewood,Montgome
130.953,1.3,24,5.2,Yardley,Bucks
