SMSA	Coverage	DTC	Age	Years	Specialty	Subscribe	Num Hospital	Conference	Practice Size	Visits	Program	Details Nosorr	Details Paenex	Details Other	Total Details	Mention Nosor	Minutes Nosorr	Samples Nosorr	Samples Paenex	Samples Other	Rx Nosorr	Rx Paenex	Rx Other	TotalRx	TherDays Nosorr	TherDays Paenex	TherDays Other	
Boston	0.92	1.5	34	6	RH	NO	2	NO	4	553	YES	6	6	9	21	21	59	111	159	96	121	92	148	361	2099	1602	2887	
Boston	0.92	1.5	40	1	GP	NO	5	YES	8	421	NO	3	5	8	16	11	40	77	166	76	44	44	112	200	359	362	1025	
Boston	0.92	1.5	36	8	RH	YES	5	YES	2	499	NO	4	3	3	10	12	46	77	68	37	153	156	97	406	2924	3037	1714	
Boston	0.92	1.5	38	8	GP	NO	3	NO	5	417	YES	5	2	6	13	19	50	88	71	74	54	66	84	204	510	619	772	
Boston	0.92	1.5	34	10	GP	YES	5	YES	4	316	NO	3	2	5	10	5	17	76	60	49	36	40	56	132	315	375	523	
Boston	0.92	1.5	30	0	PD	YES	2	YES	4	265	NO	1	2	5	8	6	25	18	72	46	29	35	49	113	188	191	289	
Boston	0.92	1.5	61	38	RH	YES	5	YES	5	581	NO	2	4	12	18	3	5	30	123	115	90	132	182	404	1733	2592	3577	
Boston	0.92	1.5	41	18	GP	YES	4	NO	3	264	YES	3	2	5	10	8	28	60	72	49	81	66	98	245	806	614	842	
Boston	0.92	1.5	35	8	PD	YES	5	YES	4	240	NO	2	6	4	12	6	21	55	178	40	26	39	41	106	151	281	239	
Boston	0.92	1.5	52	20	RH	YES	2	NO	2	487	YES	10	5	8	23	26	93	199	147	75	147	92	90	329	2578	1797	1602	
Boston	0.92	1.5	50	21	PD	NO	1	NO	2	192	NO	1	2	4	7	3	16	15	61	50	7	17	27	51	58	114	122	
Boston	0.92	1.5	39	7	GP	NO	2	NO	2	190	YES	1	2	5	8	6	20	22	55	56	20	15	54	89	150	154	529	
Boston	0.92	1.5	63	36	GP	YES	4	NO	5	386	YES	3	1	8	12	15	37	47	39	85	50	71	125	246	455	583	1131	
Boston	0.92	1.5	56	23	RH	YES	5	YES	6	699	NO	8	3	10	21	28	87	165	95	96	266	152	188	606	5127	2850	3531	
Boston	0.92	1.5	55	31	GP	YES	4	YES	6	340	NO	6	3	5	14	23	73	106	92	49	53	42	76	171	475	425	727	
Boston	0.92	1.5	39	8	PD	NO	0	NO	7	323	YES	6	3	6	15	18	56	132	93	57	63	52	52	167	369	308	336	
Boston	0.92	1.5	43	27	GP	YES	4	NO	3	218	NO	1	2	3	6	5	16	17	74	34	29	60	75	164	269	516	689	
Boston	0.92	1.5	44	17	GP	NO	2	YES	6	372	YES	5	3	5	13	16	48	105	92	50	86	92	72	250	795	865	619	
Boston	0.92	1.5	53	25	GP	YES	3	YES	7	493	NO	4	5	2	11	11	34	83	162	16	107	169	48	324	956	1569	456	
Boston	0.92	1.5	57	23	GP	NO	0	NO	3	295	YES	2	5	4	11	6	25	40	145	40	45	115	53	213	473	1107	418	
St Louis	0.8	1.5	34	13	GP	YES	3	YES	4	326	YES	3	4	5	12	12	43	44	122	57	82	68	59	209	721	583	527	
St Louis	0.8	1.5	38	6	GP	NO	4	NO	2	238	NO	4	8	3	15	15	44	73	230	22	63	73	32	168	599	694	277	
St Louis	0.8	1.5	60	32	RH	YES	4	YES	10	713	YES	5	8	13	26	19	55	135	231	129	167	211	167	545	3352	3896	3206	
St Louis	0.8	1.5	52	17	RH	YES	5	NO	1	347	NO	2	4	8	14	6	13	37	127	73	41	104	136	281	758	1972	2333	
St Louis	0.8	1.5	35	14	RH	NO	1	NO	7	500	YES	3	1	4	8	16	42	60	33	33	55	67	147	269	1018	1341	2850	
St Louis	0.8	1.5	45	12	PD	NO	5	YES	4	191	NO	2	3	3	8	4	14	50	75	20	34	26	32	92	189	124	226	
St Louis	0.8	1.5	48	17	GP	NO	5	YES	1	173	NO	1	3	3	7	4	11	18	94	25	33	63	58	154	305	551	480	
St Louis	0.8	1.5	38	4	RH	NO	3	NO	1	449	YES	3	6	7	16	7	26	80	191	74	85	198	150	433	1631	3657	3053	
