BreweryBrand,Beer,AlcoholPercent,Calories,CarbsFROMrealbeer
Amstel Light,Amstel Light,3.5,95,5
Anchor,Anchor Steam,4.9,152,
Anchor,Liberty Ale,6.0,188,
Anchor,Anchor Porter,5.6,205,
Beamish,Beamish Stout,3.8,131    
Beck's,Beck's,5.0,143  
Blue Moon,Blue Moon White,5.4,171,12.9
Budweiser (U.S),Budweiser,5.0,143,10.6
Budweiser,Bud Light,4.2,95,6.6
Budweiser,Bud Ice,5.5,148,8.9
Budweiser,Bud Ice Light,4.1,110,6.5
Busch,Busch,4.6,133,10.2
Busch Light,Busch Light,4.2,110,6.7
Busch Ice,Busch Ice,5.9,173,13
Clausthaler,Clausthaler,0.4,96,5.8
Colt 45,Colt 45 Malt Liquor,6.0,172,
Coors,Coors Original,5.0,148,11.3
Coors,Coors Light,4.2,102,5.0
Coors,Coors Extra Gold,5.0,147,10.7
Coors,Coors NA,0.001,73,14.2
Corona,Corona Light,4.5,109,5
Corona,Corona Extra,4.6,148,
Deschutes,Cascade Ale,4.5,140 
Deschutes,Mirror Pond Pale,5.3,175 
Deschutes,Bachelor ESB,5.0,180 
Deschutes,Black Butte Porter,5.2,185 
Deschutes,Quail Springs IPA,5.8,200 
Deschutes,Obsidian Stout,6.7,220 
Deschutes,Broken Top Bock,7.0,233 
Deschutes,Pine Mountain Pils,5.1,154,
Deschutes,Cinder Cone Red,5.8,180,
Dos Equis,Dos Equis XX,4.8,145,
Dragon Stout,Dragon Stout,6.8,220,
Edison Light,Edison Light,4.0,109,6.5
Foster's,Foster's Lager,5.1,156,
Fuller's,Fuller's London Pride,4.7,156 
Genesee/High Falls,Genesee 12 Horse,4.8,152,14
Genesee/High Falls,Genny Light,3.6,96,5.5
Genesee/High Falls,Kipling Light Lager,3.4,99,8.0
Grolsch,Grolsch,5.0,156,
Guinness,Guinness Draught,4.0,125,10
Guinness,Foreign Extra Stout,7.5,176,14
Hamm's,Hamm's,4.7,144,12.1
Hamm's,Hamm's Light,4.1,110,7.3
Heineken,Heineken,5.4,166,9.8
Heineken,Heineken Light,3.5,99,6.8
Henry Weinhard's,Weinhard's Amber Ale,5.3,169,14
Henry Weinhard's,Weinhard's Dark,4.8,150,13.1
Henry Weinhard's,Weinhard's Hefeweizen,4.9,128,9.2
Henry Weinhard's,Private Reserve,4.5,128,9.2
I.C. Light,I.C. Light,4.2,95,2.8
Icehouse,Icehouse5.0,5.0,132,8.7
Icehouse,Icehouse5.5,5.5,149,9.8
J.W. Dundee,Honey Brown,4.5,150,13.5
Keystone,Keystone Light,4.2,100,5.0
Kilarney's,Kilarney's Red Lager,5.0,197,22.8
Killian's,Killian's,  4.9, 163,13.8
Labatt,Labatt Blue,5.0,153,
Lowenbrau,Lowenbrau,5.2,160,
Michelob,Michelob,5.0,155,13.3
Michelob,Michelob Light,4.3,113,6.7
Michelob,Michelob Amber Bock,5.2,166,15.0
Michelob,Michelob Hefeweizen,5.0,152,11.8
Michelob,Michelob Honey Lager,4.9,175,17.4
Michelob,Michelob Black & Tan,5.0,168,15.8
Michelob,Michelob Ultra,4.2,95,2.6
Mickey's,Mickey's,5.6,157,11.2
Mickey's,Mickey's Ice,5.9,165,11.8
Miller,Miller Genuine Draft,5,143,13.1
