Market	IBM
-0.045	-0.029
0.01	-0.043
0.05	-0.063
0.063	0.13
0.067	-0.018
0.007	-0.004
0.071	0.092
0.079	0.049
0.002	-0.051
-0.189	-0.046
0.084	0.031
0.015	0.108
0.058	0.034
0.011	-0.017
0.123	0.052
0.026	-0.004
0.014	-0.022
0.075	-0.035
-0.013	-0.049
0.095	0.016
0.039	-0.032
-0.097	-0.079
0.116	0.06
0.086	-0.013
0.124	0.066
0.112	-0.062
-0.243	-0.122
0.08	-0.016
0.062	0.025
0.086	0.061
0.065	0.111
0.025	0.017
0.015	-0.021
0.006	0.039
0.092	0.035
-0.056	-0.004
-0.014	-0.052
-0.009	0.011
0.067	-0.029
-0.008	-0.06
0.064	0.017
-0.003	-0.015
-0.033	-0.03
-0.031	-0.002
-0.164	-0.018
0.062	-0.048
0.069	0.075
-0.039	0.044
-0.079	0.119
-0.101	-0.014
-0.028	-0.034
0.041	0.075
0.003	-0.029
-0.078	-0.014
-0.006	0.082
0.122	0.087
0.008	0.041
0.136	0.089
0.049	0.094
0.014	0.113
0.065	0.027
0.028	0.01
0.043	0.028
0.097	0.15
0.08	-0.041
0.048	0.081
-0.017	0.001
-0.034	0.001
0	0.062
-0.082	-0.001
0.066	-0.066
-0.012	0.039
-0.029	-0.065
-0.03	-0.026
0.003	0.034
-0.003	-0.002
-0.058	-0.044
0.005	-0.019
-0.058	0.047
0.146	0.127
0	0.004
-0.035	0.012
-0.019	-0.023
-0.001	0.011
0.097	0.108
0.012	-0.009
0.008	-0.052
-0.01	-0.004
0.019	0.025
-0.003	-0.038
0.012	0.062
0.005	-0.028
-0.055	-0.022
0.026	0.048
0.059	0.085
0.013	0.113
-0.009	-0.026
0.049	0.003
0.048	0.004
-0.009	0.031
0.049	-0.018
0.004	-0.039
-0.076	-0.096
0.049	0.055
-0.047	-0.031
0.018	-0.081
0	0.037
-0.005	-0.056
0.148	0.073
0.065	0.092
0.037	0.076
-0.025	0.067
0.004	0.006
0.038	0.016
0.055	-0.009
0.015	0.053
-0.015	-0.105
-0.26	-0.187
-0.07	-0.087
0.073	0.043
0	0
