"ORDER"	"COSTS"	"KWH"	"PL"	"PF"	"PK"	"LNCP3"	"LNP13"	"LNP23"	"LNKWH"
101.00	0.08	2.00	2.09	17.90	183.00	-5.39	-2.15	2.32	0.69
102.00	0.66	3.00	2.05	35.10	174.00	-3.97	-2.84	1.60	1.10
103.00	0.99	4.00	2.05	35.10	171.00	-3.57	-2.84	1.58	1.39
104.00	0.32	4.00	1.83	32.20	166.00	-4.63	-2.87	1.64	1.39
105.00	0.20	5.00	2.12	28.60	233.00	-4.98	-2.60	2.10	1.61
106.00	0.10	9.00	2.12	28.60	195.00	-5.68	-2.60	1.92	2.20
107.00	0.95	11.00	1.98	35.50	206.00	-3.62	-2.89	1.76	2.40
108.00	0.68	13.00	2.05	35.10	150.00	-3.95	-2.84	1.45	2.56
109.00	0.53	13.00	2.19	29.10	155.00	-4.02	-2.59	1.67	2.56
110.00	0.50	22.00	1.72	15.00	188.00	-3.40	-2.17	2.53	3.09
111.00	1.19	25.00	2.09	17.90	170.00	-2.71	-2.15	2.25	3.22
112.00	0.67	25.00	1.68	39.70	167.00	-4.08	-3.16	1.44	3.22
113.00	0.35	35.00	1.81	22.60	213.00	-4.17	-2.52	2.24	3.56
114.00	0.42	39.00	2.30	23.60	164.00	-4.02	-2.33	1.94	3.66
115.00	0.50	43.00	1.75	42.80	170.00	-4.45	-3.20	1.38	3.76
116.00	0.55	63.00	1.76	10.30	161.00	-2.93	-1.77	2.75	4.14
117.00	0.80	68.00	1.98	35.50	210.00	-3.80	-2.89	1.78	4.22
118.00	0.66	81.00	2.29	28.50	158.00	-3.76	-2.52	1.71	4.39
119.00	0.70	84.00	2.19	29.10	156.00	-3.72	-2.59	1.68	4.43
120.00	0.90	73.00	1.75	42.80	176.00	-3.86	-3.20	1.41	4.29
121.00	1.50	99.00	2.20	36.20	170.00	-3.18	-2.80	1.55	4.60
122.00	1.62	101.00	1.66	33.40	192.00	-3.03	-3.00	1.75	4.62
123.00	1.13	119.00	1.92	22.50	164.00	-2.99	-2.46	1.99	4.78
124.00	0.72	120.00	1.77	21.30	175.00	-3.39	-2.49	2.11	4.79
125.00	2.41	122.00	2.09	17.90	180.00	-2.00	-2.15	2.31	4.80
126.00	1.13	130.00	1.82	38.90	176.00	-3.54	-3.06	1.51	4.87
127.00	0.99	138.00	1.80	20.20	202.00	-3.01	-2.42	2.30	4.93
128.00	1.55	149.00	1.92	22.50	227.00	-2.67	-2.46	2.31	5.00
129.00	1.23	196.00	1.92	29.10	186.00	-3.17	-2.72	1.86	5.28
201.00	1.56	197.00	2.19	29.10	183.00	-2.92	-2.59	1.84	5.28
202.00	1.94	209.00	1.92	22.50	169.00	-2.45	-2.46	2.02	5.34
203.00	3.15	214.00	1.52	27.50	168.00	-2.17	-2.90	1.81	5.37
204.00	2.60	220.00	1.92	22.50	164.00	-2.16	-2.46	1.99	5.39
205.00	3.30	234.00	2.20	36.20	164.00	-2.40	-2.80	1.51	5.46
206.00	2.44	235.00	2.11	24.40	170.00	-2.30	-2.45	1.94	5.46
207.00	2.03	253.00	1.92	22.50	158.00	-2.40	-2.46	1.95	5.53
208.00	4.67	279.00	2.05	35.10	177.00	-2.02	-2.84	1.62	5.63
209.00	1.83	290.00	1.66	33.40	195.00	-2.90	-3.00	1.76	5.67
210.00	2.07	290.00	1.80	20.20	176.00	-2.28	-2.42	2.16	5.67
211.00	2.04	295.00	1.77	21.30	188.00	-2.35	-2.49	2.18	5.69
212.00	3.40	299.00	1.70	26.90	187.00	-2.07	-2.76	1.94	5.70
213.00	3.08	324.00	2.05	35.10	152.00	-2.43	-2.84	1.47	5.78
214.00	2.34	333.00	2.19	29.10	157.00	-2.52	-2.59	1.69	5.81
215.00	2.38	338.00	1.85	24.60	163.00	-2.33	-2.59	1.89	5.82
216.00	2.66	353.00	2.19	29.10	143.00	-2.39	-2.59	1.59	5.87
217.00	1.71	353.00	2.13	10.70	167.00	-1.84	-1.61	2.75	5.87
218.00	3.23	416.00	1.54	26.20	217.00	-2.09	-2.83	2.11	6.03
219.00	5.05	420.00	1.52	27.50	144.00	-1.69	-2.90	1.66	6.04
220.00	3.81	456.00	2.09	30.00	178.00	-2.06	-2.66	1.78	6.12
