"date" "returns" "year" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25" "age26" "age27" "age28" "age29" "age30" "age31" "age32" "age33" "age34" "age35" "age36" "age37" "age38" "age39" "age40" "age41" "age42" "age43" "age44" "age45" "age46" "age47" "age48" "age49" "age50" "age51" "age52" "age53" "age54" "age55" "age56" "age57" "age58" "age59" "age60" "age61" "age62" "age63" "age64" "age65" "age66" "age67" "age68" "age69" "age70" "age71" "age72" "age73" "age74" "age75" "age76"
1926 0.09617 1926 2366000 2414000 2451000 2473000 2485000 2486000 2479000 2464000 2444000 2417000 2386000 2350000 2315000 2292000 2273000 2252000 2229000 2202000 2166000 2124000 2085000 2049000 2012000 1976000 1942000 1911000 1873000 1854000 1862000 1887000 1909000 1935000 1934000 1888000 1814000 1743000 1667000 1611000 1588000 1586000 1578000 1570000 1548000 1506000 1450000 1396000 1343000 1289000 1242000 1196000 1149000 1100000 1056000 1021000 994000 965000 940000 905000 858000 805000 752000 700000 655000 624000 601000 576000 548000 520000 491000 461000 426000 388000 343000 294000 236000 1677000 1677000
1927 0.33303 1927 2305000 2383000 2441000 2480000 2502000 2512000 2509000 2496000 2474000 2445000 2410000 2366000 2330000 2311000 2299000 2283000 2267000 2244000 2210000 2168000 2128000 2090000 2052000 2013000 1975000 1937000 1897000 1872000 1875000 1892000 1907000 1926000 1925000 1888000 1829000 1774000 1714000 1668000 1641000 1627000 1608000 1588000 1560000 1520000 1472000 1426000 1379000 1332000 1281000 1231000 1179000 1127000 1080000 1043000 1014000 983000 955000 918000 874000 824000 775000 725000 681000 648000 620000 590000 558000 528000 497000 466000 430000 395000 355000 312000 267000 1729000 1729000
1928 0.38929 1928 2251000 2345000 2416000 2466000 2500000 2515000 2518000 2509000 2490000 2464000 2429000 2385000 2351000 2334000 2325000 2313000 2298000 2277000 2245000 2206000 2171000 2134000 2097000 2056000 2014000 1973000 1931000 1900000 1889000 1891000 1892000 1891000 1885000 1865000 1836000 1808000 1781000 1750000 1715000 1678000 1639000 1599000 1560000 1523000 1487000 1451000 1416000 1374000 1324000 1270000 1217000 1162000 1111000 1071000 1034000 997000 960000 923000 882000 838000 796000 753000 714000 676000 639000 604000 567000 533000 498000 465000 432000 400000 369000 337000 307000 1787000 1787000
1929 -0.1456 1929 2142000 2274000 2374000 2447000 2497000 2526000 2535000 2529000 2512000 2485000 2446000 2398000 2358000 2342000 2339000 2330000 2316000 2298000 2273000 2240000 2209000 2179000 2143000 2103000 2060000 2018000 1974000 1937000 1910000 1890000 1870000 1847000 1832000 1829000 1834000 1837000 1843000 1829000 1791000 1732000 1677000 1617000 1565000 1529000 1501000 1470000 1440000 1403000 1357000 1306000 1254000 1207000 1156000 1108000 1060000 1013000 964000 919000 882000 847000 811000 777000 742000 701000 659000 617000 578000 540000 503000 470000 436000 406000 380000 354000 336000 1854000 1854000
1930 -0.2836 1930 2181398 2164397 2272951 2375736 2377633 2489604 2512951 2482957 2569834 2534824 2472639 2430418 2396985 2375924 2364654 2351648 2335712 2317496 2295997 2271276 2245650 2220398 2190420 2151904 2106848 2061558 2017439 1975370 1936950 1902713 1869017 1832401 1808190 1808434 1826764 1846872 1869177 1874189 1843703 1784523 1721420 1656726 1597764 1553910 1522279 1489630 1454197 1417238 1378010 1336549 1295061 1254791 1210584 1158516 1100655 1042234 983123 929633 887636 854905 823587 793172 760527 722084 679137 636589 594731 555171 519894 488113 457195 427255 396062 361419 324337 1945053 1945053
1931 -0.4442 1931 2138681 2140300 2225565 2300649 2374212 2444300 2480998 2505440 2480593 2557405 2522846 2463316 2421068 2387124 2365836 2354622 2341673 2325848 2307372 2284853 2258530 2231227 2204264 2173482 2135900 2093086 2050165 2008335 1968174 1930868 1896973 1863544 1827400 1802673 1800580 1815328 1831577 1849712 1852003 1821808 1765261 1705029 1643354 1586237 1541659 1507260 1471699 1433448 1394170 1353779 1312221 1270700 1230260 1186554 1136234 1081000 1025437 969449 918022 875870 841186 807603 774927 740343 700937 657852 615103 572915 532994 497324 465200 434011 403826 372673 338502 2038279 2038279
1932 -0.0925 1932 2040919 2101784 2208897 2250398 2301105 2435190 2436210 2472188 2497622 2477759 2544521 2510332 2453347 2410850 2376177 2354569 2343380 2330480 2314809 2296173 2272673 2244739 2215865 2187348 2155910 2119286 2078713 2038119 1998540 1960268 1924044 1890488 1857301 1821514 1796148 1791757 1802901 1815361 1829430 1829088 1799179 1745185 1687721 1628947 1573576 1528258 1491096 1452662 1411618 1370057 1328538 1286858 1245344 1204789 1161653 1113032 1060360 1007524 954404 904821 862443 825835 790060 755243 718847 678544 635272 592326 549842 509616 473635 441222 409821 379500 348459 2127981 2127981
1933 0.57950 1933 1937890 2011141 2183375 2229269 2250477 2365010 2424948 2429945 2465138 2491440 2476490 2533211 2499260 2444536 2401537 2366022 2344056 2332876 2320061 2304623 2285833 2261319 2231855 2201538 2171599 2139522 2103838 2065435 2027095 1989714 1953259 1918075 1884798 1851714 1816121 1790123 1783399 1791014 1799795 1809909 1806959 1777259 1725671 1670814 1614775 1561040 1514915 1474993 1433674 1389849 1346036 1303359 1261557 1220073 1179452 1136836 1089838 1039561 989167 938621 890694 848014 809506 771624 734772 696639 655393 611895 568744 525988 485519 449271 416612 385091 354694 2212598 2212598
1934 0.04296 1934 1874566 1917215 2107742 2204350 2226918 2314488 2360580 2418028 2426895 2461216 2488388 2478235 2524902 2490904 2438135 2394491 2358069 2335716 2324571 2311912 2296708 2277711 2252239 2221351 2189700 2158347 2125615 2090799 2054477 2018315 1983039 1948327 1914096 1880940 1847771 1812339 1785632 1776617 1780802 1786003 1792212 1786626 1757015 1707653 1655208 1601747 1549502 1502491 1459762 1415542 1368941 1322842 1279010 1237089 1195651 1154909 1112756 1067220 1019038 970775 922554 876093 833032 792665 752753 713921 674017 631809 588043 544668 501675 460993 424519 391695 360103 2291095 2291095
1935 0.44448 1935 1951444 1862375 2027696 2127788 2201074 2285507 2309343 2357112 2412005 2424601 2458035 2486000 2480517 2516918 2482624 2431698 2387374 2350041 2327340 2316318 2303828 2288818 2269685 2243381 2211208 2178258 2145509 2112105 2078118 2043844 2009807 1976593 1943565 1910146 1876952 1843703 1808375 1780985 1769750 1770586 1772232 1774524 1766251 1736632 1689360 1639233 1588237 1537402 1489459 1443929 1396845 1347485 1299172 1254256 1212273 1170864 1130002 1088230 1043935 997598 951288 905222 860106 816660 774527 732667 691864 650248 607111 563102 519567 476412 435607 399041 366139 2361726 2361726
