Ave Cost	Units	Goal SD	Weight	Stamp	Chisel
20.09	180	0.1	0.430	10	15
16.51	500	0.5	0.450	10	8
21.31	200	0.1	0.385	8	10
24.50	100	0.1	0.325	12	11
18.99	300	0.1	0.480	7	13
22.35	700	0.1	0.480	15	15
22.21	500	0.5	0.270	12	11
18.17	1600	0.5	0.520	10	11
17.27	800	0.1	0.345	11	9
16.90	150	0.1	0.400	8	14
23.41	190	0.1	0.310	13	18
17.38	120	0.5	0.255	10	5
18.91	200	0.5	0.390	10	9
23.69	130	0.1	0.460	13	15
18.34	190	0.5	0.275	11	10
19.00	260	0.5	0.410	12	13
12.36	300	1.0	0.300	6	5
19.24	400	0.5	0.470	13	14
20.17	240	0.5	0.440	13	15
16.02	150	1.0	0.345	5	11
23.53	100	0.5	0.390	10	13
18.42	130	0.1	0.345	5	11
20.74	400	0.5	0.470	15	12
10.45	200	0.5	0.460	5	6
22.83	160	0.5	0.335	14	10
23.34	100	0.5	0.330	13	11
17.66	160	0.5	0.340	8	10
21.36	290	0.5	0.250	16	14
26.66	110	0.1	0.320	11	9
14.64	180	0.1	0.350	6	12
17.01	600	0.5	0.365	12	11
30.46	290	0.1	0.370	21	21
21.87	180	0.1	0.480	12	11
15.17	1300	0.5	0.220	7	3
14.68	190	1.0	0.345	7	9
24.51	200	0.1	0.290	14	12
22.03	110	0.5	0.320	13	13
29.06	140	1.0	0.280	18	10
23.52	220	0.1	0.255	12	12
19.01	130	0.5	0.385	10	10
27.99	170	1.0	0.440	15	17
18.14	600	0.5	0.420	6	3
23.04	180	0.1	0.430	12	17
34.54	120	0.1	0.340	16	13
16.05	200	1.0	0.400	9	9
16.04	600	0.5	0.305	7	11
23.55	180	0.5	0.470	12	13
18.73	300	0.1	0.205	8	9
16.14	250	0.5	0.330	8	9
18.21	170	0.5	0.360	9	12
17.32	300	0.1	0.420	6	7
18.51	400	0.5	0.225	13	9
17.67	400	0.5	0.370	9	7
20.59	500	1.0	0.410	10	9
20.08	150	0.5	0.420	13	10
16.24	500	0.1	0.440	9	13
21.35	150	0.1	0.245	8	12
21.09	160	0.1	0.500	11	9
19.08	500	0.1	0.430	8	10
18.71	400	1.0	0.360	11	13
24.92	210	0.1	0.370	9	11
22.97	100	0.5	0.305	7	8
24.42	170	1.0	0.305	17	11
12.94	190	0.5	0.300	6	9
21.76	110	0.5	0.420	10	13
28.72	110	0.5	0.280	14	11
20.82	240	0.1	0.570	14	14
17.53	700	0.1	0.460	15	18
31.58	150	0.1	0.340	15	12
19.69	600	0.1	0.370	15	13
15.89	250	0.5	0.440	7	8
18.22	170	0.5	0.390	6	7
22.34	280	0.5	0.390	18	16
19.18	150	0.1	0.315	8	11
16.99	120	0.1	0.440	7	10
21.44	180	1.0	0.520	17	18
21.59	150	0.5	0.430	9	11
21.36	170	0.5	0.470	10	10
22.37	110	0.1	0.360	7	13
19.74	400	0.1	0.335	14	20
14.78	800	0.1	0.305	7	10
17.74	300	0.5	0.345	11	10
21.47	120	0.5	0.385	9	10
15.66	220	0.5	0.335	5	7
13.51	400	0.1	0.345	11	18
31.57	120	1.0	0.420	17	12
25.83	400	0.1	0.385	19	20
35.18	120	0.5	0.420	7	10
25.25	120	0.1	0.345	15	18
21.82	3200	0.5	0.275	17	11
24.71	180	0.5	0.295	15	9
20.83	220	0.5	0.280	11	6
14.75	400	0.1	0.385	4	8
22.92	130	1.0	0.450	9	14
22.94	140	0.5	0.330	11	7
17.56	400	0.5	0.385	8	13
16.84	300	0.5	0.420	6	12
53.52	20	0.1	0.400	6	7
32.53	110	0.5	0.280	10	7
24.10	180	0.1	0.315	10	10
23.40	190	0.1	0.420	14	15
21.85	180	0.1	0.440	10	15
16.96	120	0.5	0.410	11	10
25.04	260	0.1	0.265	12	10
19.52	1200	0.5	0.310	13	12
18.20	170	0.1	0.220	6	3
19.04	1000	0.5	0.440	14	15
20.24	500	0.1	0.410	14	16
20.51	300	0.5	0.430	11	12
15.89	100	0.5	0.375	7	5
17.36	500	0.5	0.340	13	14
17.77	170	0.5	0.510	8	6
17.21	1300	0.5	0.450	11	11
11.06	2100	0.5	0.305	6	10
15.74	230	0.1	0.370	5	9
22.12	150	0.5	0.315	8	8
23.07	190	0.5	0.430	14	12
16.61	180	1.0	0.480	10	9
23.80	220	0.1	0.500	13	13
20.92	180	0.1	0.370	12	12
22.48	190	0.5	0.390	13	12
19.96	200	0.5	0.320	11	11
17.58	190	1.0	0.305	8	9
18.54	800	0.5	0.230	10	11
12.98	190	0.5	0.325	5	10
18.40	150	0.5	0.310	10	12
19.55	130	0.5	0.310	9	5
15.58	400	0.1	0.385	5	10
17.93	230	0.5	0.375	12	13
14.04	2400	1.0	0.230	10	8
27.05	100	1.0	0.430	13	14
18.39	280	0.5	0.325	14	15
12.42	900	0.1	0.330	5	10
17.66	400	0.5	0.500	9	11
20.74	200	0.1	0.500	15	14
25.21	120	0.5	0.280	13	10
21.92	500	0.1	0.440	13	12
17.40	150	0.5	0.395	11	8
23.65	160	0.5	0.335	9	10
10.65	800	0.5	0.365	7	10
24.75	190	0.1	0.260	13	13
16.00	160	0.5	0.365	6	7
16.51	500	0.1	0.460	7	9
18.63	210	0.5	0.320	7	14
25.29	180	0.1	0.380	13	13
17.34	180	0.5	0.365	9	8
16.20	900	0.5	0.345	14	12
30.75	160	0.1	0.345	17	18
15.94	400	0.5	0.390	9	11
21.67	180	0.1	0.520	9	12
26.00	100	0.1	0.440	11	15
20.58	700	0.5	0.460	15	11
16.36	500	0.5	0.450	9	11
20.63	130	0.1	0.440	7	8
18.03	1200	0.1	0.295	11	11
23.09	120	1.0	0.335	18	16
26.98	220	0.1	0.295	12	11
20.75	170	0.1	0.400	5	9
22.25	200	0.5	0.490	12	16
17.81	180	0.5	0.400	10	9
23.48	140	0.5	0.360	13	18
17.87	180	0.1	0.305	5	9
12.82	180	0.5	0.350	6	11
20.76	220	0.5	0.600	10	11
18.79	600	0.1	0.440	11	13
19.77	300	0.5	0.360	13	12
18.81	1000	0.5	0.440	11	11
19.55	180	0.5	0.510	9	9
20.52	200	0.1	0.550	7	12
17.25	1100	1.0	0.410	10	8
16.17	160	0.1	0.355	4	9
17.14	500	0.5	0.365	12	10
15.27	1000	1.0	0.395	16	14
17.48	300	1.0	0.375	14	16
13.83	140	0.5	0.390	3	6
20.08	110	0.1	0.395	5	6
20.86	260	0.1	0.370	10	11
27.83	120	0.1	0.530	13	17
23.48	300	0.1	0.450	12	16
23.99	220	1.0	0.305	15	19
23.06	190	0.5	0.530	14	15
19.34	170	0.5	0.375	7	9
19.20	300	1.0	0.400	9	9
197.70	130	0.5	0.365	12	12
21.18	300	0.5	0.430	12	19
21.47	110	0.5	0.390	12	8
18.91	900	0.1	0.375	11	12
21.04	120	1.0	0.400	9	14
22.99	180	0.5	0.375	9	9
29.13	290	0.1	0.590	13	15
23.32	280	1.0	0.350	11	10
12.57	1100	0.5	0.315	5	6
13.09	1300	1.0	0.500	8	6
17.65	290	0.5	0.320	11	10
19.60	2200	1.0	0.275	14	8
22.14	120	0.1	0.330	8	12
16.31	120	1.0	0.395	8	8
18.89	700	0.1	0.370	8	8
29.33	500	0.1	0.420	13	11
15.42	160	1.0	0.265	9	6
