DATE,PERMNO,SHROUT,RET,vwretd
19260130,10479,450,0.013333,0.000724
19260227,10479,450,0.024671,-0.033374
19260331,10479,450,-0.104334,-0.064341
19260430,10479,450,0.007299,0.038358
19260528,10479,450,0.007246,0.012172
19260630,10479,450,0.028777,0.056888
19260731,10479,450,-0.014235,0.028365
19260831,10479,450,0.068592,0.028065
19260930,10479,450,0.065878,0.005890
19261030,10479,450,-0.040258,-0.031066
19261130,10479,450,0.135906,0.027547
19261231,10479,450,-0.022157,0.030466
19270131,10479,450,0.006135,0.001449
19270228,10479,450,0.042683,0.045821
19270331,10479,450,-0.011696,0.006245
19270430,10479,450,0.051051,0.006638
19270531,10479,450,0.085714,0.056948
19270630,10479,450,-0.068421,-0.020372
19270730,10479,450,0.008596,0.075659
19270831,10479,450,0.032670,0.027050
19270930,10479,450,0.037139,0.049025
19271031,10479,450,-0.247312,-0.041894
19271130,10479,450,0.028571,0.068685
19271231,10479,450,0.093750,0.023658
19280131,10479,450,-0.058065,-0.003541
19280229,10479,450,-0.154110,-0.014416
19280331,10479,450,0.149798,0.090905
19280430,10479,450,-0.028169,0.043168
19280531,10479,450,0.054348,0.018386
19280630,10479,450,-0.017182,-0.045334
19280731,10479,450,-0.020979,0.010074
19280831,10479,450,0.021429,0.069607
19280929,10479,450,0.024476,0.031445
19281031,10479,450,-0.017065,0.018801
19281130,10479,450,0.295139,0.121287
19281231,10479,450,-0.061662,0.005262
19290131,10479,450,0.035714,0.052099
19290228,10479,450,-0.062069,-0.000190
19290328,10479,450,-0.120588,-0.007971
19290430,10479,450,0.075251,0.016786
19290531,10479,450,0.004666,-0.059109
19290629,10479,450,-0.029412,0.099650
19290731,10479,450,0.085900,0.045348
19290830,10479,450,-0.062687,0.085580
19290930,10479,450,-0.003185,-0.050009
19291031,10479,450,-0.094156,-0.195499
19291127,10479,450,-0.136201,-0.123267
19291231,10479,450,0.024896,0.017974
19300131,10479,450,0.074380,0.056640
19300228,10479,450,-0.046154,0.027701
19300331,10479,450,0.104839,0.075027
19300430,10479,450,-0.076208,-0.020885
19300529,10479,450,,-0.013252
19300630,10479,450,-0.199195,-0.157873
19300731,10479,450,0.095361,0.039659
19300829,10479,450,0.007059,0.004120
19300930,10479,450,-0.219626,-0.124009
19301031,10479,450,0.086420,-0.086989
19301129,10479,450,0.147727,-0.025990
19301231,10479,450,-0.148515,-0.078419
19310131,10479,450,0.130240,0.062534
19310228,10479,450,0.184106,0.109401
19310331,10479,450,-0.029083,-0.064041
19310430,10479,450,-0.084906,-0.098484
19310529,10479,450,-0.069588,-0.132915
19310630,10479,450,0.202216,0.137961
19310731,10479,450,0.037736,-0.065034
19310831,10479,450,0.000000,0.002348
19310930,10479,450,-0.250000,-0.290070
19311031,10479,450,0.056250,0.079160
19311130,10479,450,0.041420,-0.088776
19311231,10479,450,-0.142045,-0.133406
19320130,10479,450,-0.342466,-0.010780
19320229,10479,450,0.041667,0.056004
19320331,10479,450,-0.130000,-0.108741
19320430,10479,450,-0.150602,-0.179220
19320531,10479,450,-0.148936,-0.207520
19320630,10479,450,0.125000,-0.005089
19320730,10479,450,0.328244,0.337451
19320831,10479,450,0.379310,0.366025
19320930,10479,450,-0.133333,-0.030885
19321031,10479,450,-0.176471,-0.131180
19321130,10479,450,0.071429,-0.055696
