caldt,vwretd,vwindd,CAP1RET,CAP1IND,CAP2RET,CAP2IND,CAP3RET,CAP3IND,CAP4RET,CAP4IND,CAP5RET,CAP5IND,CAP6RET,CAP6IND,CAP7RET,CAP7IND,CAP8RET,CAP8IND,CAP9RET,CAP9IND,CAP10RET,CAP10IND
19251231,,1.471087,,0.151495,,0.624371,,0.896114,,0.873540,,0.960343,,0.877310,,0.778376,,1.581383,,1.025264,,1.704463
19260130,0.000724,1.472152,0.140946,0.172848,0.043712,0.651663,0.000041,0.896151,0.027872,0.897887,0.023553,0.982962,-0.002319,0.875275,0.006494,0.783430,0.006913,1.592316,0.001219,1.026513,-0.003466,1.698555
19260227,-0.033374,1.423020,-0.041067,0.165749,-0.070521,0.605707,-0.055560,0.846360,-0.072787,0.832533,-0.063612,0.920434,-0.059679,0.823040,-0.048510,0.745426,-0.055480,1.503974,-0.038009,0.987496,-0.022288,1.660697
19260331,-0.064341,1.331461,-0.139143,0.142687,-0.099175,0.545636,-0.130756,0.735693,-0.108843,0.741917,-0.091392,0.836313,-0.090326,0.748698,-0.099674,0.671127,-0.082022,1.380615,-0.067479,0.920861,-0.051731,1.574787
19260430,0.038358,1.382533,0.045399,0.149165,0.011936,0.552149,0.007388,0.741128,0.046690,0.776557,0.065360,0.890974,0.029715,0.770946,0.041646,0.699076,0.040422,1.436422,0.035390,0.953451,0.038565,1.635520
19260528,0.012172,1.399362,0.001372,0.149369,-0.021800,0.540112,-0.011673,0.732477,0.022850,0.794302,0.016846,0.905984,-0.011304,0.762231,0.012998,0.708163,0.008556,1.448712,0.014993,0.967745,0.013372,1.657390
19260630,0.056888,1.478969,0.013340,0.151362,0.044195,0.563982,0.067136,0.781652,0.036900,0.823612,0.036887,0.939403,0.032294,0.786846,0.056051,0.747856,0.047906,1.518114,0.061244,1.027014,0.059753,1.756423
19260731,0.028365,1.520920,0.002581,0.151752,0.024248,0.577658,-0.005229,0.777565,0.007991,0.830193,0.009533,0.948358,0.029750,0.810255,0.014801,0.758925,0.006117,1.527400,0.033522,1.061441,0.033335,1.814972
19260831,0.028065,1.563604,0.006039,0.152669,0.079373,0.623508,0.019745,0.792918,0.026398,0.852108,0.037312,0.983743,0.026452,0.831688,0.026748,0.779225,0.022029,1.561047,0.008243,1.070190,0.034257,1.877148
19260930,0.005890,1.572813,0.001003,0.152822,-0.011355,0.616428,-0.015660,0.780501,0.007634,0.858613,-0.002450,0.981334,-0.004070,0.828304,-0.014984,0.767549,0.005970,1.570366,-0.002287,1.067743,0.011073,1.897933
19261030,-0.031066,1.523952,-0.031101,0.148069,-0.017844,0.605428,-0.038033,0.750816,-0.050558,0.815204,-0.029094,0.952783,-0.020769,0.811100,-0.044778,0.733180,-0.029185,1.524535,-0.028783,1.037010,-0.030979,1.839138
19261130,0.027547,1.565932,0.017832,0.150709,0.023354,0.619567,0.018664,0.764830,0.026781,0.837036,0.027134,0.978636,0.038228,0.842107,0.042239,0.764148,0.031570,1.572665,0.034640,1.072932,0.023617,1.882572
19261231,0.030466,1.613640,0.020117,0.153741,0.029315,0.637730,0.058833,0.809827,0.015863,0.850314,0.035404,1.013283,0.017631,0.856955,0.010666,0.772299,0.030162,1.620101,0.033941,1.109348,0.031528,1.941926
19270131,0.001449,1.615978,0.008060,0.154980,0.012829,0.645911,0.014638,0.821681,0.030318,0.876094,0.012926,1.026381,0.002464,0.859067,0.018389,0.786501,0.008339,1.633610,0.007501,1.117670,-0.003674,1.934791
19270228,0.045821,1.690024,0.088393,0.168679,0.073705,0.693518,0.064969,0.875065,0.054802,0.924105,0.056912,1.084795,0.069091,0.918420,0.072563,0.843572,0.037916,1.695549,0.043211,1.165966,0.043061,2.018105
19270331,0.006245,1.700578,-0.086256,0.154130,-0.009511,0.686922,-0.037529,0.842225,-0.001807,0.922435,-0.037705,1.043893,-0.033296,0.887841,0.000849,0.844288,-0.016714,1.667210,-0.003070,1.162386,0.017025,2.052464
19270430,0.006638,1.711866,0.033255,0.159255,0.027239,0.705633,-0.001101,0.841298,-0.002547,0.920086,0.006886,1.051080,0.013005,0.899387,0.005504,0.848935,-0.005692,1.657720,0.000756,1.163265,0.009572,2.072110
19270531,0.056948,1.809353,0.066319,0.169817,0.075733,0.759073,0.102565,0.927586,0.091731,1.004486,0.036389,1.089328,0.066174,0.958903,0.082012,0.918558,0.058904,1.755366,0.068723,1.243208,0.050223,2.176177
19270630,-0.020372,1.772492,-0.031582,0.164454,-0.050922,0.720420,-0.002390,0.925369,-0.006152,0.998307,-0.012608,1.075594,0.000794,0.959665,-0.017638,0.902356,-0.023370,1.714344,-0.036112,1.198313,-0.017974,2.137063
19270730,0.075659,1.906597,0.075114,0.176807,0.053365,0.758865,0.051886,0.973383,0.026997,1.025258,0.042814,1.121644,0.056282,1.013676,0.064639,0.960684,0.070017,1.834377,0.056620,1.266162,0.086475,2.321866
19270831,0.027050,1.958170,0.003389,0.177406,-0.017795,0.745361,0.001532,0.974874,-0.005035,1.020095,0.006209,1.128608,-0.014282,0.999198,0.007918,0.968291,0.004482,1.842599,0.018126,1.289112,0.037891,2.409843
19270930,0.049025,2.054168,-0.005487,0.176432,0.021930,0.761707,0.016200,0.990667,0.027804,1.048458,0.025409,1.157285,0.056005,1.055158,0.058747,1.025174,0.051750,1.937953,0.049957,1.353512,0.049399,2.528886
19271031,-0.041894,1.968111,-0.052544,0.167162,-0.061465,0.714888,-0.057474,0.933729,-0.021046,1.026392,-0.021582,1.132308,-0.018958,1.035155,-0.033752,0.990572,-0.032962,1.874074,-0.048874,1.287361,-0.043690,2.418399
19271130,0.068685,2.103291,0.135840,0.189869,0.086632,0.776821,0.101112,1.028141,0.112876,1.142247,0.064369,1.205194,0.070109,1.107729,0.076016,1.065871,0.074130,2.013000,0.073798,1.382365,0.064354,2.574032
19271231,0.023658,2.153050,0.062854,0.201803,0.002100,0.778452,0.024542,1.053373,0.020328,1.165467,0.033444,1.245500,0.038834,1.150747,0.034025,1.102138,0.038243,2.089982,0.040932,1.438949,0.015680,2.614393
19280131,-0.003541,2.145425,0.093439,0.220660,0.041518,0.810772,0.055187,1.111505,0.021791,1.190863,0.009691,1.257571,0.034610,1.190574,0.005994,1.108744,-0.006533,2.076327,0.018104,1.465000,-0.013363,2.579456
19280229,-0.014416,2.114497,-0.020959,0.216035,-0.015841,0.797929,-0.022136,1.086901,-0.028191,1.157292,-0.031658,1.217758,-0.027864,1.157400,-0.024607,1.081461,-0.034377,2.004950,-0.026607,1.426021,-0.006441,2.562843
19280331,0.090905,2.306715,0.031615,0.222865,0.058485,0.844596,0.074812,1.168214,0.093022,1.264945,0.065227,1.297189,0.086533,1.257554,0.073669,1.161131,0.078979,2.163298,0.075724,1.534005,0.099144,2.816932
19280430,0.043168,2.406291,0.225837,0.273196,0.176702,0.993838,0.082167,1.264203,0.077624,1.363136,0.061607,1.377104,0.076829,1.354171,0.062992,1.234273,0.040077,2.249996,0.045039,1.603096,0.036223,2.918969
19280531,0.018386,2.450533,0.111934,0.303776,0.044517,1.038080,0.040218,1.315046,-0.007073,1.353493,0.026279,1.413293,0.026940,1.390652,0.022894,1.262531,0.018664,2.291990,0.019731,1.634726,0.016738,2.967827
19280630,-0.045334,2.339441,-0.103444,0.272352,-0.127836,0.905376,-0.086155,1.201748,-0.049738,1.286174,-0.074781,1.307606,-0.054311,1.315124,-0.045669,1.204872,-0.073677,2.123123,-0.057901,1.540074,-0.035963,2.861094
19280731,0.010074,2.363009,0.017590,0.277143,0.000043,0.905415,0.004392,1.207027,0.012114,1.301754,0.005317,1.314558,-0.000019,1.315099,0.011480,1.218704,-0.001700,2.119514,0.020123,1.571065,0.009654,2.888716
