# http://www.arrs.net/SA_Mara.htm
#  World Single Age Records- Marathon  (20 Jan 2011)
# marathon        <- read.csv("/home/foster/public_html_gosset/teaching/471/marathons.csv",skip=7)
# marathon$time   <- 60 * marathon$timeH + marathon$timeM + marathon$timeS/60
# marathon$age    <-  marathon$ageYears + marathon$ageDays / 395
# marathon$color  <- c("blue","pink")[(marathon$sex == "men") + 2 * (marathon$sex == "wmn")]
# plot(marathon$age, marathon$time, col = marathon$col,log="y")
sex,ageYears,ageDays,timeH,timeM,timeS,name,country,Bdate,Rdate,location
men,5,358,5,25,09,Bucky Cox,USA,11 Jul 1972,04 Jul 1978,Junction City KS USA
men,6,341,4,07,27,Bucky Cox,USA,11 Jul 1972,17 Jun 1979,Toledo OH USA
men,7,195,4,04,08,Wesley Paul,USA,25 Jan 1969,06 Sep 1976,Columbia MO USA
men,9,325,2,56,57,Wesley Paul,USA,25 Jan 1969,16 Dec 1978,Huntsville AL USA
men,10,211,3,02,23,Daven Chun,USA,18 May 1964,15 Dec 1974,Honolulu HI USA
men,11,323,2,47,17,Wesley Paul,USA,25 Jan 1969,13 Dec 1980,Huntsville AL USA
men,12,364,2,46,42,Wesley Paul,USA,25 Jan 1969,24 Jan 1982,Houston TX USA
men,13,146,2,43,02,Tom Ansberry,USA,22 Aug 1963,15 Jan 1977,San Diego CA USA
men,14,233,2,42,30,Chang-Son Kim,PRK,11 Apr 1952,30 Nov 1966,Pnom Penh CAM
men,15,225,2,29,11,Mitch Kingery,USA,03 Jul 1956,13 Feb 1972,Burlingame CA USA
men,16,359,2,15,07,Zhu-hong Li,CHN,22 Oct 1983,15 Oct 2000,Beijing CHN
men,17,357,2,10,46,Zhu-hong Li,CHN,22 Oct 1983,14 Oct 2001,Beijing CHN
men,18,202,2,06,15,Bazu Worku,ETH,15 Sep 1990,05 Apr 2009,Paris FRA
men,19,337,2,08,47,Feyisa Lilisa,KEN,01 Feb 1990,02 Jan 2010,Xiamen CHN
men,20,69,2,05,23,Feyisa Lilisa,ETH,01 Feb 1990,11 Apr 2010,Rotterdam NED
men,21,155,2,05,24,Samuel Wanjiru,KEN,10 Nov 1986,13 Apr 2008,London ENG
men,22,167,2,05,10,Samuel Wanjiru,KEN,10 Nov 1986,26 Apr 2009,London ENG
men,23,100,2,05,19,Tsegay Kebede,ETH,15 Jan 1987,25 Apr 2010,London ENG
men,24,34,2,06,13.5,Patrick Makau,KEN,02 Mar 1985,05 Apr 2009,Rotterdam NED
men,25,40,2,04,48,Patrick Makau,KEN,02 Mar 1985,11 Apr 2010,Rotterdam NED
men,26,36,2,04,26.0,James Kwambai,KEN,28 Feb 1983,05 Apr 2009,Rotterdam NED
men,27,306,2,05,42,Khalid Khannouchi,MAR,22 Dec 1971,24 Oct 1999,Chicago IL USA
men,28,186,2,04,55,Geoffrey Mutai,KEN,07 Oct 1981,11 Apr 2010,Rotterdam NED
men,29,168,2,05,15,Martin Lel,KEN,28 Oct 1978,21 Oct 2007,London ENG
men,30,345,2,04,26.3,Duncan Kibet,KEN,25 Apr 1978,05 Apr 2009,Rotterdam NED
men,31,290,2,04,56,Sammy Korir,KEN,12 Dec 1971,28 Sep 2003,Berlin GER
men,32,301,2,05,48,Paul Tergat,KEN,17 Jun 1969,14 Apr 2002,London ENG
men,33,159,2,05,56,Haile Gebreselasie,ETH,18 Apr 1973,24 Sep 2006,Berlin GER
men,34,165,2,04,26,Haile Gebreselasie,ETH,18 Apr 1973,30 Sep 2007,Berlin GER
men,35,163,2,03,58.2,Haile Gebreselasie,ETH,18 Apr 1973,28 Sep 2008,Berlin GER
men,36,339,2,05,27,Jaouad Gharib,MAR,22 May 1972,26 Apr 2009,London ENG
men,37,338,2,06,55,Jaouad Gharib,MAR,22 May 1972,25 Apr 2010,London ENG
