Time	T-Bills	VWD Index 	CPI	Risk-free Rate	VW Return	Inflation	Excess TBill	Excess VWD	Date
1925.917	38.680161	.	42.187649	.	.	.	-3.50749	.	251231
1926	38.81105	1.471	42.187649	0.003384	.	0	-3.3766	-40.7166	260130
1926.083	38.9151	1.424	42.03054	0.002681	-0.03195	-0.00372	-3.11544	-40.6065	260227
1926.167	39.031601	1.332	41.79488	0.002994	-0.06461	-0.00561	-2.76328	-40.4629	260331
1926.25	39.165359	1.381	42.187649	0.003427	0.036787	0.009398	-3.02229	-40.8066	260430
1926.333	39.170391	1.401	41.951962	0.000128	0.014482	-0.00559	-2.78157	-40.551	260528
1926.417	39.305882	1.479	41.637699	0.003459	0.055675	-0.00749	-2.33182	-40.1587	260630
1926.5	39.394039	1.521	41.244888	0.002243	0.028398	-0.00943	-1.85085	-39.7239	260731
1926.583	39.49395	1.563	41.00922	0.002536	0.027613	-0.00571	-1.51527	-39.4462	260831
1926.667	39.583721	1.567	41.2449	0.002273	0.002559	0.005747	-1.66118	-39.6779	260930
1926.75	39.710171	1.524	41.402039	0.003194	-0.02744	0.00381	-1.69187	-39.878	261030
1926.833	39.832981	1.566	41.559158	0.003093	0.027559	0.003795	-1.72618	-39.9932	261130
1926.917	39.943642	1.611	41.559158	0.002778	0.028736	0	-1.61552	-39.9482	261231
1927	40.042011	1.614	41.24493	0.002463	0.001862	-0.00756	-1.20292	-39.6309	270131
1927.083	40.144901	1.687	40.930691	0.00257	0.045229	-0.00762	-0.78579	-39.2437	270228
1927.167	40.26376	1.698	40.695011	0.002961	0.00652	-0.00576	-0.43125	-38.997	270331
1927.25	40.366261	1.71	40.695011	0.002546	0.007067	0	-0.32875	-38.985	270430
1927.333	40.487679	1.808	41.009258	0.003008	0.05731	0.007722	-0.52158	-39.2013	270531
1927.417	40.59227	1.771	41.402081	0.002583	-0.02046	0.009579	-0.80981	-39.6311	270630
1927.5	40.71365	1.905	40.616482	0.00299	0.075663	-0.01897	0.097168	-38.7115	270730
1927.583	40.825901	1.953	40.380779	0.002757	0.025197	-0.0058	0.445122	-38.4278	270831
1927.667	40.911499	2.044	40.616482	0.002097	0.046595	0.005837	0.295017	-38.5725	270930
1927.75	41.01458	1.963	40.85218	0.00252	-0.03963	0.005803	0.1624	-38.8892	271031
1927.833	41.10014	2.1	40.773621	0.002086	0.069791	-0.00192	0.326519	-38.6736	271130
1927.917	41.191769	2.148	40.695049	0.002229	0.022857	-0.00193	0.49672	-38.547	271231
1928	41.296249	2.142	40.616508	0.002536	-0.00279	-0.00193	0.679741	-38.4745	280131
1928.083	41.432289	2.113	40.223709	0.003294	-0.01354	-0.00967	1.20858	-38.1107	280229
1928.167	41.554211	2.303	40.223709	0.002943	0.08992	0	1.330502	-37.9207	280331
1928.25	41.646881	2.402	40.302269	0.00223	0.042987	0.001953	1.344612	-37.9003	280430
1928.333	41.781719	2.449	40.537949	0.003238	0.019567	0.005848	1.24377	-38.0889	280531
1928.417	41.912189	2.336	40.223701	0.003123	-0.04614	-0.00775	1.688488	-37.8877	280630
1928.5	42.047379	2.36	40.223701	0.003226	0.010274	0	1.823678	-37.8637	280731
1928.583	42.18261	2.52	40.302261	0.003216	0.067797	0.001953	1.880349	-37.7823	280831
1928.667	42.295712	2.599	40.616501	0.002681	0.031349	0.007797	1.679211	-38.0175	280929
1928.75	42.4683	2.653	40.537941	0.004081	0.020777	-0.00193	1.930359	-37.8849	281031
1928.833	42.63184	2.973	40.459381	0.003851	0.120618	-0.00194	2.172459	-37.4864	281130
1928.917	42.657398	2.984	40.302238	0.0006	0.0037	-0.00388	2.35516	-37.3182	281231
1929	42.804081	3.143	40.22369	0.003439	0.053284	-0.00195	2.580391	-37.0807	290131
1929.083	42.95702	3.142	40.14513	0.003573	-0.00032	-0.00195	2.81189	-37.0031	290228
1929.167	43.104431	3.117	39.987999	0.003432	-0.00796	-0.00391	3.116432	-36.871	290328
1929.25	43.258179	3.173	39.830849	0.003567	0.017966	-0.00393	3.42733	-36.6578	290430
1929.333	43.44799	2.997	40.066528	0.004388	-0.05547	0.005917	3.381462	-37.0695	290531
1929.417	43.673611	3.295	40.223671	0.005193	0.099433	0.003922	3.44994	-36.9287	290629
1929.5	43.819698	3.446	40.616489	0.003345	0.045827	0.009766	3.203209	-37.1705	290731
1929.583	43.996281	3.735	40.773602	0.00403	0.083865	0.003868	3.222679	-37.0386	290830
1929.667	44.151119	3.552	40.69503	0.003519	-0.049	-0.00193	3.456089	-37.143	290930
1929.75	44.353569	2.854	40.69503	0.004585	-0.19651	0	3.658539	-37.841	291031
1929.833	44.519779	2.505	40.616489	0.003747	-0.12228	-0.00193	3.90329	-38.1115	291127
1929.917	44.68277	2.55	40.380791	0.003661	0.017964	-0.0058	4.301979	-37.8308	291231
1930	44.74501	2.692	40.223671	0.001393	0.055686	-0.00389	4.521339	-37.5317	300131
1930.083	44.87764	2.764	40.066559	0.002964	0.026746	-0.00391	4.811081	-37.3026	300228
1930.167	45.0336	2.976	39.830879	0.003475	0.0767	-0.00588	5.202721	-36.8549	300331
1930.25	45.12833	2.915	40.066559	0.002104	-0.0205	0.005917	5.061771	-37.1516	300430
