SampleSize,XbarMinusMu
1,-0.5
2,0
3,0.16666667
4,0.25
5,0.1
6,0.16666667
7,0.21428571
8,0.25
9,0.16666667
10,0.2
11,0.22727273
12,0.25
13,0.26923077
14,0.28571429
15,0.3
16,0.3125
17,0.32352941
18,0.27777778
19,0.23684211
20,0.2
21,0.21428571
23,0.15217391
25,0.14
27,0.16666667
29,0.15517241
31,0.14516129
33,0.13636364
35,0.12857143
37,0.14864865
39,0.14102564
41,0.1097561
44,0.09090909
47,0.07446809
50,0.1
53,0.08490566
56,0.08928571
59,0.09322034
62,0.08064516
66,0.04545455
70,0.04285714
74,0.04054054
78,0.03846154
82,0.03658537
87,0.04022989
92,0.04347826
97,0.03608247
102,0.02941176
108,0.02777778
114,0.02631579
120,0.025
126,0.01587302
133,0.0037594
140,-0.0071429
147,-0.0170068
155,-0.0096774
163,0.00306748
172,0
181,0.00828729
191,-0.0078534
201,-0.0223881
212,-0.0188679
223,-0.029148
235,-0.0276596
247,-0.0222672
260,-0.0230769
273,-0.0164835
287,-0.0191638
302,-0.0231788
318,-0.0251572
334,-0.0239521
351,-0.0270655
369,-0.0176152
388,-0.0206186
408,-0.0245098
429,-0.0174825
451,-0.0166297
474,-0.021097
498,-0.0281124
523,-0.0239006
550,-0.0309091
578,-0.0224913
607,-0.0222405
638,-0.0203762
670,-0.0238806
704,-0.0184659
740,-0.0162162
777,-0.0135135
816,-0.0147059
857,-0.0075846
900,-0.0044444
945,-0.0037037
993,-0.0045317
1043,-0.0110259
1096,-0.0145985
1151,-0.0178106
1209,-0.0169562
1270,-0.0181102
1334,-0.0187406
1401,-0.0132049
1472,-0.013587
1546,-0.007762
1624,-0.0086207
1706,-0.0046893
1792,-0.0039063
1882,-0.0005313
1977,0.00227618
2076,0.00192678
2180,-0.0009174
2289,-0.005024
2404,-0.0079035
2525,-0.0053465
2652,-0.004902
2785,-0.0062837
2925,-0.0087179
3072,-0.0100911
3226,-0.0089895
3388,-0.0082645
3558,-0.0064643
3736,-0.0045503
3923,-0.006755
4120,-0.0072816
4326,-0.0064725
4543,-0.0078142
4771,-0.0084888
5010,-0.010978
5261,-0.0120699
5525,-0.0111312
5802,-0.0117201
6093,-0.0117348
6398,-0.0112535
6718,-0.0107175
7054,-0.0114828
7407,-0.0105981
7778,-0.0119568
8167,-0.0120607
8576,-0.0122435
9005,-0.0109384
9456,-0.0114213
9929,-0.0108269
10426,-0.0123729
10948,-0.0135185
11496,-0.0137439
12071,-0.0133792
12675,-0.0137673
13309,-0.0140131
13975,-0.0132021
14674,-0.0108355
15408,-0.0101246
16179,-0.0092404
16988,-0.0088886
17838,-0.0084651
18730,-0.0078484
19667,-0.006788
20651,-0.0069488
21684,-0.0071481
22769,-0.0064342
23908,-0.005814
25104,-0.0045809
26360,-0.0060698
27678,-0.005564
29062,-0.0055399
30516,-0.0038341
32042,-0.0036827
33645,-0.0037598
35328,-0.002774
37095,-0.0031675
38950,-0.003389
40898,-0.0030319
42943,-0.0030389
45091,-0.0030716
47346,-0.003147
49714,-0.0032184
52200,-0.0023563
54810,-0.0024631
57551,-0.0020764
60429,-0.0017955
63451,-0.0013317
66624,-0.0004353
69956,-0.0003574
73454,-0.0015928
77127,-0.0008363
80984,-0.0014694
85034,-0.001717
89286,-0.001512
93751,-0.001008
98439,-0.0012444
103361,-0.0006337
108530,-0.0008385
113957,-0.0013207
119655,-0.0013079
125638,-0.001178
131920,-0.0011901
138516,-0.0010396
145442,-0.0009488
152715,-0.0010772
160351,-0.0012629
168369,-0.0015353
176788,-0.0010578
185628,-0.0010451
194910,-0.0008004
204656,-0.0011629
214889,-0.0008075
225634,-0.0007741
236916,-0.0008212
248762,-0.0009803
261201,-0.0005885
274262,-0.0006145
287976,-0.0003316
302375,-0.0004897
317494,-0.0003038
333369,-0.0006354
350038,-0.0007283
367540,-0.0010066
385917,-0.0009456
405213,-0.0005616
425474,-0.0005164
446748,-0.0005427
469086,-0.0004905
492541,-0.0005634
517169,-0.0005376
543028,-0.0002815
570180,-0.0002867
598689,-0.0002177
628624,-0.000402
660056,-0.000606
693059,-0.0004749
727712,-0.0005629
764098,-0.000611
802303,-0.0008617
842419,-0.0007053
884540,-0.0005957
928767,-0.0005792
975206,-0.0005979
1023967,-0.000643
1075166,-0.0007263
1128925,-0.000576
1185372,-0.0004173
1244641,-0.0005005
1306874,-0.0004151
1372218,-0.0003587
1440829,-0.0003342
1512871,-0.0002016
1588515,-0.000104
1667941,-0.0002071
1751339,-0.0001305
1838906,-0.0000528
1930852,-0.000114
2027395,-0.0001169
2128765,-0.0002108
2235204,-0.0000953
2346965,-1.1531e-5
2464314,7.66039e-5
2587530,-1.0627e-5
2716907,0.00007195
2852753,-3.2148e-5
2995391,7.44485e-6
3145161,1.05824e-6
3302420,8.47615e-6
3467541,4.32104e-6
3640919,-3.2697e-6
3822965,0.00002857
4014114,0.00013518
4214820,6.47437e-5
4425561,0.00011691
4646840,9.35458e-5
4879182,1.63978e-5
5123142,-2.536e-6
5379300,-0.0001008
5648265,-0.0001416
5930679,-0.0001173
6227213,-7.8026e-5
6538574,-5.3448e-5
6865503,-0.0000389
7208779,-0.0000685
7569218,-0.0001351
7947679,-9.7931e-5
8345063,-9.1615e-5
8762317,-7.5646e-5
9200433,-8.6947e-5
9660455,-7.054e-5
10143478,-0.0000628
10650652,-0.0000852
11183185,-0.0001126
11742345,-9.6817e-5
12329463,-9.8324e-5
12945937,-0.0001056
13593234,-0.0001652
14272896,-0.0001694
14986541,-0.0001968
15735869,-0.0002251
16522663,-0.0002021
17348797,-0.000163
18216237,-0.0001656
19127049,-0.0001496
20083402,-0.0001717
21087573,-0.0001658
22141952,-0.0001714
23249050,-0.0001851
24411503,-0.0001631
25632079,-0.0001451
26913683,-0.0001354
28259368,-9.8621e-5
