who	Newbie	Age	Gender	Household.Income	Sexual.Preference	Country	Education.Attainment	Major.Occupation	Marital.Status	Years.on.Internet
id74364	0	54	Male	$50-74	Gay male	Ontario	Some College	Computer	Other	4-6 yr
id84505	0	39	Female	Over $100	Heterosexual	Sweden	Professional	Other	Other	1-3 yr
id84509	1	49	Female	$40-49	Heterosexual	Washington	Some College	Management	Other	Under 6 mo
id87028	1	22	Female	$40-49	Heterosexual	Florida	Some College	Computer	Married	6-12 mo
id76087	0	20	Male	$30-39	Bisexual	New Jersey	Some College	Education	Single	1-3 yr
id77190	0	16	Male	NA	Heterosexual	New York	Grammar	Education	Single	1-3 yr
id78923	0	67	Male	$30-39	Heterosexual	New Jersey	Other	Other	Married	1-3 yr
id78976	0	25	Male	Under $10	Heterosexual	Connecticut	College	Education	Single	1-3 yr
id89941	0	54	Male	$75-99	Heterosexual	Washington	Professional	Professional	Married	4-6 yr
id75957	1	48	Female	$50-74	Heterosexual	Ohio	College	Education	Married	Under 6 mo
id76313	0	25	Male	$30-39	Heterosexual	Ontario	College	Computer	Single	1-3 yr
id80575	0	27	Female	$40-49	Bisexual	Wisconsin	College	Education	Single	4-6 yr
id87146	1	42	Male	$50-74	Heterosexual	Michigan	Some College	Management	Married	6-12 mo
id88233	1	48	Male	$20-29	Heterosexual	United Kingdom	Some College	Computer	Married	Under 6 mo
id72594	0	43	Male	$40-49	Heterosexual	Ontario	Some College	Computer	Married	1-3 yr
id81750	0	37	Male	Over $100	Heterosexual	Washington D.C.	Professional	Professional	Married	Over 7 yr
id84525	0	30	Male	Over $100	Heterosexual	Texas	College	Computer	Single	1-3 yr
id75960	0	25	Female	$40-49	Heterosexual	Texas	Special	Professional	Other	1-3 yr
id75085	0	40	Male	Over $100	Heterosexual	Florida	Professional	Computer	Single	4-6 yr
id84528	0	35	Male	NA	Heterosexual	Wisconsin	Some College	Computer	Married	4-6 yr
id81669	0	26	Male	Over $100	Heterosexual	Texas	College	Computer	Married	Over 7 yr
id85191	1	36	Female	$50-74	Heterosexual	Florida	Some College	Professional	Married	6-12 mo
id87151	0	24	Male	$30-39	Heterosexual	Australia	Some College	Education	Single	1-3 yr
id89679	0	27	Male	$20-29	Heterosexual	California	Masters	Computer	Single	1-3 yr
id72605	0	15	Male	NA	Heterosexual	Iowa	High School	Education	Single	1-3 yr
id80272	0	31	Male	NA	Heterosexual	California	College	Computer	Single	Over 7 yr
id84535	0	37	Female	$50-74	Heterosexual	Arizona	College	Computer	Married	1-3 yr
id82732	0	28	Male	$20-29	Heterosexual	California	Doctoral	Professional	Single	Over 7 yr
id74703	0	23	Female	$20-29	Heterosexual	Ohio	Some College	Computer	Single	1-3 yr
id77419	0	50	Female	Over $100	Heterosexual	Pennsylvania	College	Computer	Married	4-6 yr
id79513	0	38	Male	$75-99	Transgender	California	College	Computer	Single	Over 7 yr
id80149	0	23	Male	$50-74	Heterosexual	United Kingdom	Masters	Computer	Other	4-6 yr
id89887	0	48	Male	$50-74	NA	Wisconsin	Some College	Computer	Married	1-3 yr
id74862	0	30	Male	$50-74	Heterosexual	France	College	Computer	Single	1-3 yr
id72593	0	42	Male	$50-74	Heterosexual	Hong Kong	College	Management	Married	1-3 yr
id84537	0	32	Male	$50-74	Heterosexual	Washington	Special	Computer	Married	1-3 yr
id88487	0	48	Female	$40-49	Heterosexual	Washington	College	Computer	Divorced	4-6 yr
id72602	0	26	Male	$40-49	Heterosexual	Washington	Doctoral	Computer	Single	Over 7 yr
id78506	0	20	Male	$10-19	Gay male	Florida	Some College	Education	Other	4-6 yr
id72609	0	42	Female	NA	Heterosexual	Florida	Special	Professional	Divorced	1-3 yr
