DATE,BERK,vwretd,riskfree
19750131,0.00000,0.14150,0.005824
19750228,-0.03448,0.05842,0.004348
19750331,0.02857,0.03019,0.004135
19750430,0.07143,0.04649,0.004377
19750530,0.00000,0.05514,0.004356
19750630,0.06167,0.05147,0.004089
19750731,0.09677,-0.06039,0.004846
19750829,0.00000,-0.02356,0.004805
19750930,0.09853,-0.03801,0.005267
19751031,0.08219,0.05586,0.005556
19751128,-0.07595,0.03122,0.004097
19751231,-0.05890,-0.01100,0.00485
19760130,0.05970,0.12601,0.004681
19760227,0.02817,0.00731,0.003372
19760331,0.02466,0.02680,0.004017
19760430,0.02740,-0.01039,0.004194
19760528,0.00000,-0.00937,0.003744
19760630,0.05067,0.04449,0.004348
19760730,0.00000,-0.00616,0.004656
19760831,0.02597,-0.00143,0.004208
19760930,0.04810,0.02448,0.004368
19761029,0.00000,-0.02037,0.004084
19761130,0.00000,0.00536,0.003963
19761231,0.07160,0.06160,0.004043
19770131,0.00000,-0.03634,0.003594
19770228,-0.09412,-0.01576,0.003515
19770331,0.03636,-0.00925,0.003764
19770429,0.00000,0.00495,0.003755
19770531,0.01282,-0.01079,0.003714
19770630,0.04962,0.05137,0.003986
19770729,0.04938,-0.01281,0.004169
19770831,0.02353,-0.01335,0.004415
19770930,0.09103,0.00157,0.004333
19771031,0.00000,-0.03928,0.004927
19771130,-0.02151,0.04543,0.005001
19771230,0.02198,0.00822,0.004867
19780131,0.00000,-0.05520,0.004893
19780228,0.00000,-0.00927,0.004598
19780331,0.04396,0.03401,0.005288
19780428,0.00000,0.08284,0.005357
19780531,0.00000,0.02324,0.005088
19780630,0.02151,-0.01075,0.005369
19780731,0.00000,0.05675,0.005591
19780831,0.00000,0.04235,0.00555
19780929,0.00000,-0.00689,0.0062
19781031,-0.10989,-0.11100,0.006807
19781130,0.00000,0.03379,0.007
19781229,0.05086,0.01771,0.007824
19790131,0.00000,0.04949,0.007716
19790228,0.00000,-0.02677,0.007338
19790330,0.02554,0.06562,0.008132
19790430,0.00000,0.00852,0.007958
19790531,0.00000,-0.01358,0.00816
19790629,0.02699,0.04685,0.008104
19790731,0.07229,0.01499,0.007658
19790831,0.02247,0.06473,0.007671
19790928,0.13451,0.00143,0.008291
19791031,0.00000,-0.07266,0.008724
19791130,0.03960,0.06360,0.00987
19791231,0.20381,0.02821,0.009512
19800131,0.00000,0.06561,0.007968
19800229,0.00000,0.00101,0.008858
19800331,-0.02839,-0.12022,0.012054
