DATE,Unemployment_Rate
JAN1948,3.4000
FEB1948,3.8000
MAR1948,4.0000
APR1948,3.9000
MAY1948,3.5000
JUN1948,3.6000
JUL1948,3.6000
AUG1948,3.9000
SEP1948,3.8000
OCT1948,3.7000
NOV1948,3.8000
DEC1948,4.0000
JAN1949,4.3000
FEB1949,4.7000
MAR1949,5.0000
APR1949,5.3000
MAY1949,6.1000
JUN1949,6.2000
JUL1949,6.7000
AUG1949,6.8000
SEP1949,6.6000
OCT1949,7.9000
NOV1949,6.4000
DEC1949,6.6000
JAN1950,6.5000
FEB1950,6.4000
MAR1950,6.3000
APR1950,5.8000
MAY1950,5.5000
JUN1950,5.4000
JUL1950,5.0000
AUG1950,4.5000
SEP1950,4.4000
OCT1950,4.2000
NOV1950,4.2000
DEC1950,4.3000
JAN1951,3.7000
FEB1951,3.4000
MAR1951,3.4000
APR1951,3.1000
MAY1951,3.0000
JUN1951,3.2000
JUL1951,3.1000
AUG1951,3.1000
SEP1951,3.3000
OCT1951,3.5000
NOV1951,3.5000
DEC1951,3.1000
JAN1952,3.2000
FEB1952,3.1000
MAR1952,2.9000
APR1952,2.9000
MAY1952,3.0000
JUN1952,3.0000
JUL1952,3.2000
AUG1952,3.4000
SEP1952,3.1000
OCT1952,3.0000
NOV1952,2.8000
DEC1952,2.7000
JAN1953,2.9000
FEB1953,2.6000
MAR1953,2.6000
APR1953,2.7000
MAY1953,2.5000
JUN1953,2.5000
JUL1953,2.6000
AUG1953,2.7000
SEP1953,2.9000
OCT1953,3.1000
NOV1953,3.5000
DEC1953,4.5000
JAN1954,4.9000
FEB1954,5.2000
MAR1954,5.7000
APR1954,5.9000
MAY1954,5.9000
JUN1954,5.6000
JUL1954,5.8000
AUG1954,6.0000
SEP1954,6.1000
OCT1954,5.7000
NOV1954,5.3000
DEC1954,5.0000
JAN1955,4.9000
FEB1955,4.7000
MAR1955,4.6000
APR1955,4.7000
MAY1955,4.3000
JUN1955,4.2000
JUL1955,4.0000
AUG1955,4.2000
SEP1955,4.1000
OCT1955,4.3000
NOV1955,4.2000
DEC1955,4.2000
JAN1956,4.0000
FEB1956,3.9000
MAR1956,4.2000
APR1956,4.0000
MAY1956,4.3000
JUN1956,4.3000
JUL1956,4.4000
AUG1956,4.1000
SEP1956,3.9000
OCT1956,3.9000
NOV1956,4.3000
DEC1956,4.2000
JAN1957,4.2000
FEB1957,3.9000
MAR1957,3.7000
APR1957,3.9000
MAY1957,4.1000
JUN1957,4.3000
JUL1957,4.2000
AUG1957,4.1000
SEP1957,4.4000
OCT1957,4.5000
NOV1957,5.1000
DEC1957,5.2000
JAN1958,5.8000
FEB1958,6.4000
MAR1958,6.7000
APR1958,7.4000
MAY1958,7.4000
JUN1958,7.3000
JUL1958,7.5000
AUG1958,7.4000
SEP1958,7.1000
OCT1958,6.7000
NOV1958,6.2000
DEC1958,6.2000
JAN1959,6.0000
FEB1959,5.9000
MAR1959,5.6000
APR1959,5.2000
MAY1959,5.1000
JUN1959,5.0000
JUL1959,5.1000
AUG1959,5.2000
SEP1959,5.5000
OCT1959,5.7000
NOV1959,5.8000
DEC1959,5.3000
JAN1960,5.2000
FEB1960,4.8000
MAR1960,5.4000
APR1960,5.2000
MAY1960,5.1000
JUN1960,5.4000
JUL1960,5.5000
AUG1960,5.6000
SEP1960,5.5000
OCT1960,6.1000
