MinkID	sex	Gs totwt/g	res.	vis ely	TCCS/kg	max price	RESI1	SRES1	RESI2	SRES2	RESI5	RESI6	RESI7	RESI8	RESI9	RESI10	RESI11	RESI12	RESI13	RESI14
1	female	60000	Novel	0.678	39.25	750	-0.190357824	-0.976196323	-0.177150056	-0.855120922	-0.142427517	-0.198319217	-0.198319217	-0.20825278	-0.187841416	-0.201506892	-0.135273086	-0.206823654	-0.154227941	-0.206823654
2	male	81500	Novel	0.578	38.5	1250	-0.101354841	-0.521832287	-0.057307837	-0.276277971	-0.215545304	-0.179006465	-0.179006465	-0.181008113	-0.192477924	-0.038535219	0.002865632	-0.193460716	-0.238304678	-0.193460716
3	female	59250	Novel	0.513	34.25	1250	0.016064629	0.08524979	0.081975744	0.395439796	0.288471575	0.244925189	0.244925189	0.240863611	0.24342836	0.065666829	0.023528832	0.239508072	0.281481092	0.239508072
4	male	94250	Novel	0.359	49	1250	-0.115762061	-0.602003324	-0.060504	-0.291924229	0.06221457	0.054020612	0.054020612	0.053126336	0.056515327	-0.040613534	-0.059109803	0.029024191	0.022846152	0.029024191
5	female	105000	Novel	0.236	51.75	1250	-0.262445761	-1.332129409	-0.239646857	-1.156266098	0.278845841	0.182392792	0.182392792	0.170302768	0.184887506	-0.257941005	-0.296979809	0.175658137	0.26979332	0.175658137
6	male	120500	Novel	0.192	60.25	1250	-0.14407858	-0.753578122	-0.08728012	-0.421582823	-0.031820995	-0.029433177	-0.029433177	-0.039040721	-0.022946919	-0.073413522	-0.091263465	-0.060246076	-0.080310309	-0.060246076
7	male	62750	Novel	0.407	36.75	1250	0.004462307	0.022926073	0.051918174	0.250753121	0.05042476	0.046304361	0.046304361	0.060680161	0.048799075	0.068520431	0.125404319	0.015249929	0.001537412	0.015249929
8	male	151750	Novel	0.393	87.25	1250	-0.136578163	-0.767429263	-0.182904843	-0.892607222	0.076618189	0.103611345	0.103611345	0.092007617	0.102114516	-0.15875259	-0.018075177	0.149772726	0.149281661	0.149772726
9	female	46500	Novel	0.577	33.5	1250	0.040587667	0.207841432	0.090715616	0.438076383	-0.539419088	-0.162109327	-0.162109327	-0.157064228	-0.163606155	0.072954312	0.047857176	-0.175183802	-0.55845901	-0.175183802
10	male	57000	Novel	1.01	53.75	1000	0.193620814	1.019663938	0.214513062	1.034925894	0.033443781	-0.011592811	-0.011592811	-0.002389603	0.006868077	0.228853804	0.137691485	-0.004336846	0.044902307	-0.004336846
11	female	75250	Novel	1.229	70.75	1000	0.53824351	2.868599033	0.431764662	2.08653923	0.207622631	0.117403727	0.117403727	0.123089936	0.127881528	0.411034875	0.187009855	0.152795682	0.264926887	0.152795682
12	female	42500	Novel	0.671	33.5	1250	0.153359813	0.780589003	0.062683635	0.302169382		-0.175628957	-0.175628957	-0.165207276	-0.181117329	0.041771993	0.064272329	-0.168703645		-0.168703645
13	female	33750	Novel	0.324	56.25	1250	-0.044745918	-0.230410647	-0.034836616	-0.168719626	0.134505802	0.103297279	0.103297279	0.113995803	0.081842734	-0.050166437	0.018823843	0.146566809	0.204180802	0.146566809
14	female	53500	Novel	0.479	50.5	750	-0.029732095	-0.153503789	-0.061359016	-0.300080748	-0.227599243	-0.111961486	-0.111961486	-0.117727834	-0.105475228	-0.081813674	0.090760861	-0.163817598	-0.30769515	-0.163817598
15	male	138000	Novel	0.489	97	1250	-0.369527102	-2.485116641	-0.41762552	-2.100550056	0.072160015	0.097346984	0.097346984	0.089779335	0.095850155	-0.391014828	-0.324245045	0.189890128	0.217849681	0.189890128
16	male	156500	Novel	1.159	81.5	1250	0.448243604	2.281406017	0.385043972	1.864866867	-0.047495016	-0.081250848	-0.081250848	-0.073155012	-0.094722307	0.404955457	0.226732055	-0.125893337	-0.117802226	-0.125893337
1	female	50750	Hay	1.034	43.75	1000	0.332947201	1.693449035	0.31767551	1.534690219	-0.147113177	-0.147599786	-0.147599786	-0.136994151	-0.161570188	0.452430441	0.387213284	-0.127909077	-0.116529889	-0.127909077
2	male	73750	Hay	0.5	36.75	1000	0.135378922	0.732068448	0.061308766	0.296099896	-0.22305475	-0.374866046	-0.374866046	-0.365023549	-0.360396701	-0.053042451	0.0904418	-0.398790853	-0.260697587	-0.398790853
3	female	61500	Hay	0.355	31.75	1250	0.149582862	0.814080828	0.095308768	0.459461962	-0.263379222	-0.350451147	-0.350451147	-0.338665286	-0.348455376	0.185349965	0.423098167	-0.346536234	-0.257350919	-0.346536234
4	male	129500	Hay	0.536	69	1250	0.217868905	1.107816236	0.249903656	1.209693699	0.12792172	0.208578929	0.208578929	0.201985694	0.211073643	0.131574306	0.211690948	0.24147955	0.179793343	0.24147955
5	female	126500	Hay	0.105	56	1250	-0.17032745	-0.873129025	-0.186672044	-0.901135592	0.327954334	0.325678264	0.325678264	0.321582081	0.331665579	-0.080365157	-0.138406758	0.309891365	0.302851149	0.309891365
6	male	148250	Hay	0.324	71	1250	0.125715242	0.640626023	0.167291716	0.81061654	0.032399969	0.078382382	0.078382382	0.066135723	0.08486864	0.080317263	0.090464706	0.106113968	0.075928897	0.106113968
7	male	106250	Hay	0.27	51.25	1250	-0.017815796	-0.091147551	0.04110195	0.198987093	-0.07846282	-0.079729558	-0.079729558	-0.074418544	-0.077234843	-0.064734021	-0.019150638	-0.049851257	-0.031431436	-0.049851257
8	male	192750	Hay	0.034	83.75	1250	-0.184265969	-0.958385705	-0.249571836	-1.219841272	-0.140983339	-0.202151733	-0.202151733	-0.221800299	-0.203648561	-0.372128812	-0.77490254	-0.261403937	-0.234206821	-0.261403937
9	female	64500	Hay	0.246	31.25	1250	-0.038729475	-0.203393514	-0.054503602	-0.263489466	-0.045387868	-0.168974224	-0.168974224	-0.154507357	-0.166978452	0.038302953	0.238756152	-0.188985017	-0.077055662	-0.188985017
10	male	68750	Hay	0.626	46.5	1250	0.018382186	0.093937519	0.061443092	0.297795723	0.133471227	0.093173991	0.093173991	0.106265749	0.083694075	-0.019851537	-0.011059871	0.044493201	0.056629151	0.044493201
11	female	207500	Hay	0.145	98.75	1250	-0.441879613	-2.26449051	-0.444782916	-2.144090263	0.084802982	0.200740182	0.200740182	0.169236544	0.18676978	-0.315358727	-0.293172229	0.195314891	0.075867981	0.195314891
12	female	125250	Hay	0.294	64	1250	-0.133121077	-0.704247416	-0.16284901	-0.787219317	-0.482108422	-0.675612884	-0.675612884	-0.682186083	-0.677608655	-0.044035658	0.126815121	-0.648150583	-0.437104116	-0.648150583
13	female	127250	Hay	0.084	58.5	500	-0.044073021	-0.231561136	-0.063772254	-0.307419504	0.025541831	0.026974847	0.026974847	0.016292715	0.092835312	0.038833122	-0.003312173	0.034842358	0.037713551	0.034842358
14	female	41250	Hay	0.023	44	1250	-0.396260278	-2.118865477	-0.373115541	-1.802443813	0.499689541	0.789244748	0.789244748	0.805241537	0.743341999	-0.275156939	-0.740991564	0.771532297	0.471607906	0.771532297
15	male	114000	Hay	1.184	78.75	1250	0.330905296	2.176182682	0.497468691	2.433951	-0.03805271	-0.102492486	-0.102492486	-0.09158633	-0.103989315	0.377444455	0.283882993	-0.040052297	0.060348814	-0.040052297
16	male	199250	Hay	0.65	106	1250	0.115692064	0.587608657	0.043765056	0.211360266	0.186760703	0.379104521	0.379104521	0.378441555	0.365633063	-0.079579202	0.128632602	0.358011624	0.153635639	0.358011624
1	female	70000	Bath	0.392	41	1250	-0.106563973	-0.547646526	-0.126227484	-0.611833456	0.022280515	-0.057750751	-0.057750751	-0.045589695	-0.085691555	-0.094509474	0.025964267	-0.092019498	-0.031910048	-0.092019498
2	male	109000	Bath	0.269	57.75	1250	-0.038588516	-0.197996542	-0.025773325	-0.124611472	-0.119121074	-0.144203877	-0.144203877	-0.12518185	-0.154182735	-0.063705333	-0.112315481	-0.174382245	-0.166641713	-0.174382245
3	female	71250	Bath	0.221	35.75	1250	0.12439337	0.658656371	0.134122196	0.650519081	-0.002502054	-0.036587999	-0.036587999	-0.019370916	-0.020621826	0.171749624	0.072595631	-0.07469317	-0.062772385	-0.07469317
4	male	147750	Bath	-0.01	61.75	1250	-0.079834249	-0.418064611	-0.074521729	-0.363165687	0.036279865	-0.01334537	-0.01334537	-0.003823429	-0.007358055	-0.11365906		-0.068470204	-0.050518721	-0.068470204
5	female	162500	Bath	0.284	85.5	1250	0.122228471	0.62371589	0.107350347	0.517520981	0.233951205	0.132425926	0.132425926	0.123051513	0.152383643	0.14540215	0.138749826	0.139398898	0.244667259	0.139398898
6	male	134500	Bath	0.207	63.75	1250	0.188249491	0.959396598	0.223105144	1.075464357	0.197109363	0.115087655	0.115087655	0.132011504	0.125066514	0.18219565	0.100604438	0.115083417	0.197126217	0.115083417
7	male	197000	Bath	0.202	97.25	1250	0.09134632	0.465268989	0.135079559	0.651350488	0.093501312	-0.005537749	-0.005537749	-0.013690046	0.000449566	0.097318268	-0.029248828	0.001632092	0.104795585	0.001632092
8	male	151500	Bath	0.309	79.5	1250	0.077470773	0.400653865	0.102525187	0.494241769	0.284849318	0.279155095	0.279155095	0.299896462	0.281150867	0.069132864	0.1301032	0.279699009	0.285680857	0.279699009
9	female	141500	Bath	0.161	63.5	1250	-0.01922599	-0.098431351	-0.010033451	-0.0484259	0.228407014	0.172088558	0.172088558	0.164550051	0.188054731	0.029078852	-0.134612277	0.15562168	0.202203109	0.15562168
10	male	162250	Bath	0.54	106	1250	-0.095653826	-0.542559639	0.018226687	0.089165585	-0.524155417	-0.17462403	-0.17462403	-0.176117525	-0.180611345	-0.021393023	-0.002396539	-0.114192308	-0.428972251	-0.114192308
11	female	176500	Bath	0.261	91.5	1250	-0.128684048	-0.653832638	-0.175835157	-0.848596712	-0.114773474	-0.136538311	-0.136538311	-0.145985578	-0.136538311	-0.142231764	-0.054097524	-0.150897157	-0.13762207	-0.150897157
12	female	144000	Bath	0.197	67.75	1250	0.012527178	0.063805946	-0.063557973	-0.307643009	0.131111475	0.154342089	0.154342089	0.1495283	0.166316719	-0.029279443	-0.053465128	0.124455437	0.08588466	0.124455437
13	female	121000	Bath	-0.104	48.5	1250	-0.085161342	-0.456571427	-0.044645398	-0.219130786	0.096822642	0.088642258	0.088642258	0.089919014	0.084650715	-0.010187281		0.023190862	-0.006492099	0.023190862
14	female	102250	Bath	0.346	74.25	1250	0.026831461	0.257047933	-0.119302081	-0.678199627	-0.595297324	-0.316621769	-0.316621769	-0.316102688	-0.348554116	-0.070022664	0.004865204	-0.125057053	-0.293958425	-0.125057053
15	male	175500	Bath	0.498	130	1250	0.003746763	0.019256401	0.029431367	0.142099457	-0.006909307	-0.00360114	-0.00360114	0.005775095	-0.001605368	-0.006915554	0.032767278	-0.026698051	-0.043288293	-0.026698051
16	male	417000	Bath	0.421	199.5	1250	-0.093081883	-0.500716089	-0.109943891	-0.533844069	0.038445939	-0.052930585	-0.052930585	-0.118870211	-0.062909443	-0.142973813	-0.119514069	-0.01267171	0.101818318	-0.01267171
1	female	9500	Toy	0.876	12.75	500	-0.031962298	-0.162442319	-0.03923774	-0.189142337	0.039377706	0.048684598	0.048684598	0.044437244	0.083610602	-0.115267741	-0.112385322	0.052342542	0.044898724	0.052342542
2	male	66750	Toy	0.543	37.25	1000	-0.119473112	-0.611392012	-0.143365671	-0.691145375	0.197159127	0.205527078	0.205527078	0.184057177	0.202533421	-0.069036303	-0.022915718	0.207936411	0.200943929	0.207936411
3	female	25250	Toy	0.461	15.5	1250	-0.029343746	-0.153683745	-0.02830597	-0.136455245	0.10285134	0.239172563	0.239172563	0.234065539	0.234183134	-0.097800648	-0.10397063	0.244465597	0.110905094	0.244465597
4	male	25250	Toy	0.587	16.75	1000	0.150717549	0.781474662	0.118244136	0.57009599	-0.266664229	-0.191200375	-0.191200375	-0.189430037	-0.17822786	0.192271592	0.162761287	-0.2008119	-0.281807941	-0.2008119
5	female	18750	Toy	0.805	18.25	1250	0.250694873	1.265947983	0.272877399	1.315381982	0.026667053	-0.065106726	-0.065106726	-0.056925287	-0.066104612	0.200349085	0.160510437	-0.062715746	0.030170239	-0.062715746
6	male	22750	Toy	0.164	11	1250	-0.096933709	-0.52072228	-0.151890196	-0.734334595	0.117864229	0.067631411	0.067631411	0.07241788	0.056654666	-0.083924928	-0.136955171	0.039031263	0.072856355	0.039031263
7	male	85500	Toy	0.193	40	1250	-0.245431629	-1.241162876	-0.238423239	-1.150161929	-0.152625355	-0.20205082	-0.20205082	-0.222442491	-0.217019108	-0.166158048	-0.226265321	-0.189905798	-0.133495444	-0.189905798
8	male	86750	Toy	0.353	47.5	1250	-0.256949914	-1.360300608	-0.22881343	-1.104648539	0.209893363	0.249384628	0.249384628	0.238813597	0.230424797	-0.153075414	0.001551926	0.26645888	0.236763405	0.26645888
9	female	31250	Toy	0.422	18.25	1250	-0.144053323	-0.736416364	-0.113536249	-0.547660675	0.068942131	0.008459441	0.008459441	0.004809485	0.003470012	-0.184800659	-0.157767809	-0.003230921	0.050261837	-0.003230921
10	male	30500	Toy	1.06	35.75	1000	0.108659691	0.599498831	0.209843287	1.014798382	-0.158158813	-0.126711604	-0.126711604	-0.132182895	-0.125713718	0.279153703	0.157977061	-0.098658159	-0.113957212	-0.098658159
11	female	46500	Toy	0.939	44	1250	0.047764489	0.282944043	0.060005339	0.294470825	-0.49944197	-0.395628745	-0.395628745	-0.393129873	-0.416584347	-0.013025194	-0.040603479	-0.325296017	-0.388940774	-0.325296017
12	female	19000	Toy	0.782	21.25	1250	0.147831604	0.763363138	0.108178041	0.522481692	-0.163911533	-0.139060189	-0.139060189	-0.133967735	-0.148041162	0.03461556	0.039639075	-0.11404399	-0.122692085	-0.11404399
13	female	21750	Toy	0.204	10.75	1250	-0.177447102	-0.935955015	-0.155327293	-0.748886754	0.104788732	0.133276266	0.133276266	0.133953803	0.10832912	-0.226662161	-0.187975804	0.127793953	0.095885337	0.127793953
14	female	11250	Toy	1.03	25.25	500	0.478048382	2.588104047	0.478314487	2.384004453	0.320726541	0.170202791	0.170202791	0.166756825	0.201137252	0.402591758	0.402553531	0.080684582	0.179511628	0.080684582
15	male	43250	Toy	0.747	28.5	1250	0.007185831	0.03776374	-0.044534123	-0.217564231	0.158533278	0.145989893	0.145989893	0.151592321	0.127030062	0.027608854	0.083981623	0.084990277	0.062475693	0.084990277
16	male	1750	Toy	0.786	6.5	500	-0.089307586	-0.486785677	-0.104028779	-0.504984432	-0.106001599	-0.14857021	-0.14857021	-0.102825551	-0.095682261	-0.026839455	-0.020135689	-0.109040974	-0.043778786	-0.109040974
1	female	6750	Empty	0.936	11.5	500	-0.336167004	-1.824977668	-0.158629526	-0.768753993	0.112859823	0.165355623	0.165355623	0.155103326	0.154877822	-0.285685294	-0.268638944	0.196928995	0.162334529	0.196928995
2	male	12750	Empty	0.824	12.5	1000	-0.17038431	-0.8994381	-0.045369397	-0.220435521	0.167489826	0.166392291	0.166392291	0.153400705	0.159906033	0.083155876	0.001789795	0.21743327	0.247846915	0.21743327
3	female	5250	Empty	0.762	6.25	1000	0.164242473	0.858554925	0.096914184	0.469631641	0.056748169	0.105890866	0.105890866	0.101816539	0.083438435	-0.023707035	-0.066304374	0.135361456	0.102869856	0.135361456
4	male	14750	Empty	0.292	8.25	1250	-0.161922207	-0.872714734	-0.338087952	-1.630448344	0.032229192	0.021319083	0.021319083	0.013820645	0.002858195	-0.210131638	-0.271464367	0.037815768	0.058189549	0.037815768
5	female	6000	Empty	0.667	6	1000	0.034253458	0.178435414	-0.00478305	-0.023057819	-0.623089316	-0.363473429	-0.363473429	-0.357217142	-0.381934317	-0.130044874	-0.055287814	-0.374112836	-0.640102942	-0.374112836
6	male	16250	Empty	0.269	8.5	1250	-0.067374514	-0.359276574	-0.228087952	-1.099967098	-0.059588066	-0.039350086	-0.039350086	-0.045464309	-0.05381943	-0.105198587	-0.078957331	-0.021409404	-0.031320979	-0.021409404
7	male	16250	Empty	0.645	12.25	1000	0.088450196	0.448923895	0.070304373	0.339121772	-0.14817391	-0.162310252	-0.162310252	-0.168001925	-0.152830337	0.195251842	0.191537333	-0.142534717	-0.117030584	-0.142534717
8	male	9000	Empty	0.914	10.25	1000	0.265322074	1.370212388	0.237675369	1.150060961	-0.249413837	-0.204222935	-0.204222935	-0.196626146	-0.198734563	0.362082981	0.377654082	-0.22922359	-0.288780636	-0.22922359
9	female	4000	Empty	0.666	5	750	0.032359957	0.171565737	-0.023644457	-0.11397957	0.139541718	0.066508687	0.066508687	0.066849277	0.071997059	-0.146551431	-0.113876539	0.056543398	0.123574486	0.056543398
10	male	6750	Empty	0.534	5.25	1000	-0.258193033	-1.395105983	-0.378160455	-1.84522983	0.334851281	0.2383069	0.2383069	0.228972556	0.235812185	-0.260175899	-0.140088471	0.190384831	0.259429285	0.190384831
11	female	16250	Empty	0.779	16.75	750	-0.206145936	-1.06737495	-0.158386463	-0.764785041	0.029007838	-0.069628686	-0.069628686	-0.061915331	-0.080106488	-0.288259924	-0.149608793	-0.095903509	-0.012598683	-0.095903509
12	female	1750	Empty	1.168	9.75	500	0.130612868	0.790342159	0.352711623	1.702790718	0.221185953	0.338077882	0.338077882	0.343081091	0.367515515	0.226742424	0.076566969	0.35185386	0.244705632	0.35185386
13	female	250	Empty	1.21	4.5	250	0.619775607	3.15927121	0.660445101	3.204025978	-0.070858314	-0.127973432	-0.127973432	-0.125651229	-0.086561169	0.538087171	0.387883222	-0.094241318	-0.018014357	-0.094241318
14	female	3250	Empty	0.967	5.75	500	0.13500733	0.724280311	0.235922701	1.150779193	0.13460413	-0.114757512	-0.114757512	-0.122066531	-0.129226856	0.109418962	0.189266274	-0.176430046	0.037231479	-0.176430046
15	male	9750	Empty	0.668	11.75	1000	-0.195603722	-1.017359268	-0.28847815	-1.397962136	0.136126076	0.144282513	0.144282513	0.149999685	0.149770885	-0.162195823	-0.100352043	0.11309771	0.087008365	0.11309771
16	male	11250	Empty	0.956	13	750	-0.074233237	-0.399881239	-0.03034595	-0.146306384	-0.213520563	-0.164417513	-0.164417513	-0.136101212	-0.142962968	0.097211247	0.019881003	-0.165563869	-0.215341916	-0.165563869
1	female	19500	Platform	1.16	26.25	750	0.29652262	1.50105054	0.294078492	1.417868808	0.137001034	0.250424337	0.250424337	0.257026678	0.257409538	0.309767772	0.154408769	0.25221889	0.139598701	0.25221889
2	male	36250	Platform	0.799	28.25	1000	0.124441647	0.636896526	0.174592351	0.841614394	0.106081224	0.118391219	0.118391219	0.133639439	0.132860563	0.15453039	0.083649652	0.123660844	0.114376556	0.123660844
3	female	43000	Platform	0.373	22	1250	-0.150010181	-0.80266609	-0.039900189	-0.192555977	-0.065250887	-0.060070041	-0.060070041	-0.057489209	-0.06505947	-0.016028131	-0.026198031	-0.085359323	-0.105357728	-0.085359323
4	male	43000	Platform	0.593	29.75	1250	0.11812737	0.606998125	0.178978277	0.862870482	0.08674765	0.045658503	0.045658503	0.06446197	0.048153218	0.160947025	0.089710346	0.045775694	0.086915805	0.045775694
5	female	71250	Platform	0.503	47.75	1250	0.023236895	0.117993127	0.003939902	0.019033547	0.045358786	-0.011034134	-0.011034134	-0.009342113	-0.01203202	0.024696306	0.077286835	0.005996986	0.071918298	0.005996986
6	male	53750	Platform	0.276	28.25	1250	-0.058814561	-0.309249715	0.014843946	0.071749343	-0.32011727	-0.255071312	-0.255071312	-0.238657437	-0.248585054	-0.010034405	0.014372053	-0.273719058	-0.349455946	-0.273719058
7	male	54250	Platform	0.377	30.75	1250	-0.019082032	-0.098532457	0.041848211	0.202333412	0.173455083	0.231392577	0.231392577	0.248025012	0.233887292	0.021775653	0.035023598	0.210030049	0.139810128	0.210030049
