caldt,vwretd
19620702,-99
19620703,0.01129418
19620705,0.006013365
19620706,-0.01070926
19620709,0.006677473
19620710,0.01267763
19620711,0.009771667
19620712,0.005515735
19620713,-0.002835682
19620716,0.0000823866
19620717,-0.01743234
19620718,-0.01018657
19620719,0.003908696
19620720,0.005977403
19620723,-0.000340994
19620724,-0.008062527
19620725,0.001840836
19620726,0.004999262
19620727,0.007460956
19620730,0.01003191
19620731,0.006988268
19620801,-0.007042473
19620802,0.003492433
19620803,0.002260219
19620806,-0.006050893
19620807,-0.006009123
19620808,0.003421552
19620809,-0.000790614
19620810,0.001862421
19620813,0.002111263
19620814,0.01003095
19620815,0.007256419
19620816,0.0003559336
19620817,0.006009524
19620820,0.006030979
19620821,-0.003491356
19620822,0.01154725
19620823,-0.001248782
19620824,-0.00127628
19620827,-0.000533595
19620828,-0.01095238
19620829,-0.001788706
19620830,0.0001390234
19620831,0.008209096
19620904,-0.009368734
19620905,-0.006822529
19620906,0.003912347
19620907,0.0000975858
19620910,0.000558207
19620911,0.002518269
19620912,0.004302786
19620913,-0.00228842
19620914,0.003002245
19620917,0.002594484
19620918,-0.000571835
19620919,-0.001958766
19620920,-0.006728441
19620921,-0.01426942
19620924,-0.01828569
19620925,0.005715366
19620926,-0.01385006
19620927,-0.006286496
19620928,0.006794931
19621001,-0.01276201
19621002,0.01043278
19621003,0.001510618
19621004,0.007896094
19621005,0.00608252
19621008,0.0002132145
19621009,0.003109102
19621010,0.0000316977
19621011,-0.002831434
19621012,-0.001655215
19621015,0.004653796
19621016,-0.003108389
19621017,-0.004408634
19621018,-0.009270889
19621019,-0.01315874
19621022,-0.01167769
19621023,-0.02636594
19621024,0.02809792
19621025,-0.007271871
19621026,-0.002767526
19621029,0.02195848
19621030,0.01474725
19621031,0.0002416336
19621101,0.009925374
19621102,0.01061993
19621105,0.01050282
19621107,0.007189436
19621108,-0.005758554
19621109,0.009890466
19621112,0.01378158
19621113,-0.001932675
19621114,0.01195781
19621115,-0.002370036
19621116,0.002895676
19621119,-0.004564601
19621120,0.009859249
19621121,0.007153196
19621123,0.01177289
19621126,-0.00281756
19621127,0.007280177
19621128,0.007484397
19621129,0.004498208
19621130,-0.002009056
19621203,-0.003985163
19621204,0.01071782
19621205,0.004216997
19621206,0.0007190459
19621207,0.001908739
19621210,-0.01294344
19621211,0.0004676961
19621212,0.004625527
19621213,-0.003429814
19621214,0.002128586
19621217,-0.00361621
19621218,-0.004819047
19621219,0.007621577
19621220,0.003264628
19621221,-0.002074605
19621224,-0.000568552
19621226,0.00621067
19621227,-0.00137558
19621228,0.0005668717
19621231,0.002447414
19630102,-0.005009645
19630103,0.0164687
19630104,0.006896493
19630107,0.0009462297
19630108,0.009031241
19630109,-0.001470985
19630110,0.001982825
19630111,0.002611926
19630114,0.005732182
19630115,-0.000920155
19630116,-0.00675707
19630117,0.006621226
19630118,0.0004582204
19630121,0.001537367
19630122,0.002751432
19630123,0.002342235
19630124,0.001651847
19630125,0.002497899
19630128,0.00389375
19630129,0.0003892582
19630130,-0.005378238
19630131,0.004608775
19630201,0.001922214
19630204,-0.002013791
19630205,-0.000735222
19630206,0.004697177
19630207,-0.002963697
19630208,0.0005283771
19630211,-0.004840666
19630212,0.000280333
19630213,0.004821113
19630214,0.003187089
19630215,0.001370462
19630218,0.001687482
19630219,-0.004056718
19630220,-0.00497047
19630221,0.001220548
19630225,-0.005912702
19630226,0.0009936315
19630227,-0.006275512
19630228,-0.01102261
19630301,-0.003239942
19630304,0.009083687
19630305,-0.000022566
19630306,0.001777744
19630307,0.005806044
19630308,0.001217175
19630311,0.002175599
19630312,0.002480539
19630313,0.003231016
19630314,-0.004251566
19630315,0.003954948
19630318,-0.004160024
19630319,-0.002216297
19630320,0.007189477
19630321,-0.001147147
19630322,0.004538544
19630325,0.0004702779
19630326,0.002574349
19630327,0.004139648
19630328,-0.001091202
19630329,0.0000917941
19630401,0.003741332
19630402,-0.000191309
19630403,0.007060945
19630404,0.006162698
19630405,0.005793583
19630408,0.003489617
19630409,-0.000647384
19630410,-0.002433245
19630411,0.006588212
19630415,0.00392007
19630416,0.0009434416
19630417,-0.002147191
19630418,0.001014141
19630419,0.004774574
19630422,0.0006078445
19630423,0.003577547
19630424,0.002721414
19630425,0.000713477
19630426,-0.000535324
19630429,-0.000766888
19630430,0.002193172
19630501,0.00260677
19630502,0.002699391
19630503,-0.00136382
19630506,-0.006189287
19630507,-0.000133364
19630508,0.007819642
19630509,0.004366065
19630510,0.003075102
19630513,0.0003885838
19630514,-0.00257767
19630515,0.002517215
19630516,-0.002140793
19630517,0.001011777
19630520,-0.003820481
19630521,0.002233817
19630522,0.0005121668
19630523,-0.000727268
19630524,-0.001072606
19630527,-0.000969822
19630528,0.001791102
19630529,0.00435355
19630531,0.005574544
19630603,-0.000577056
19630604,0.000123033
19630605,-0.002274165
19630606,0.0002435049
19630607,-0.001815176
19630610,-0.005466173
19630611,0.001050604
19630612,0.004827413
19630613,-0.002448654
19630614,0.000609946
19630617,-0.003894688
19630618,0.001290324
19630619,0.000955924
19630620,-0.001110975
19630621,0.003270917
19630624,-0.000785357
19630625,-0.002237898
19630626,-0.009033364
19630627,-0.004796206
19630628,0.004052644
19630701,-0.006464337
19630702,0.007971023
19630703,0.00642031
19630705,0.004133867
19630708,-0.006110313
19630709,0.00460377
19630710,-0.001551583
19630711,-0.00145633
19630712,-0.001138435
19630715,-0.006030876
19630716,-0.000652104
19630717,-0.003156645
19630718,-0.005655251
19630719,-0.002507007
19630722,-0.006362353
19630723,0.0001534454
19630724,0.004638993
19630725,-0.000289354
19630726,0.003570984
19630729,0.001079957
19630730,0.008449879
19630731,-0.001153869
19630801,-0.000682479
19630802,0.003001807
19630805,0.005681036
19630806,0.006057996
19630807,-0.001725032
19630808,0.001408421
19630809,0.006048047
19630812,0.002591149
19630813,0.00269739
19630814,0.003185092
19630815,0.004351757
19630816,0.001668483
19630819,-0.000344737
19630820,-0.000476638
19630821,-0.001006019
19630822,0.003850986
19630823,0.003484363
19630826,0.001924058
19630827,-0.004134681
19630828,0.00774447
19630829,0.001916529
19630830,0.00441649
19630903,0.002394912
19630904,0.0001866158
19630905,0.004860164
19630906,-0.002459593
19630909,-0.00343654
19630910,0.005284401
19630911,0.002622816
19630912,-0.000755687
19630913,0.0004088235
19630916,-0.001298285
19630917,0.0004133044
19630918,-0.004036526
19630919,0.00539203
19630920,0.0006780242
19630923,-0.00484157
19630924,0.003582066
19630925,-0.005536849
19630926,-0.007888246
19630927,-0.001686403
19630930,-0.005777982
19631001,0.006385566
