Name,Company,Industry,Net Sales (million),Net income (million),Salary (000),Bonus,Other annual comp,Total compensation,Total comp with options ($000),Total comp + opt exer,All other pay,Percent stock owned,CEO?,Full Title,Sex,Age,GVKEY,SP Industry Code,SIC,SIC Desc,Id,Annual CEO
Robert Switz,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,467.923,0,0,467.923,5671.627,2811.743,0,,,president & CEO,MALE,56,1013,4520,3661,TELE & TELEGRAPH APPARATUS,8741,
Richard Roscitt,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,767.63,0,1493.356,767.63,.,3981.909,0,,CEO,"chairman, president & CEO",MALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,23275,CEO
Jo Anne Anderson,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,261.125,134,0,395.125,741.926,519.067,0,,,vp; president-systems integration and software systems business unit,FEMALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,24949,
Jay Hilbert,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,463.536,50,9.779,513.536,597.398,597.398,0,,,"senior vp-global sales, marketing and customer service",MALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,26619,
Michael Pratt,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,361.384,0,0,361.384,865.958,587.384,0,,,vp; president-wireline business unit,MALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,26620,
Patrick O'Brien,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,214.938,81,0,295.938,683.707,474.777,0,,,vp; president-connectivity business unit,MALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,26621,
Hilton Nicholson,ADC TELECOMMUNICATIONS INC,IT,773.2,-76.7,250.962,0,0,250.962,671.179,420.462,0,,,vp; president-IP cable business unit,MALE,.,1013,4520,3661,TELE & TELEGRAPH APPARATUS,26622,
Ingrid Wiik,ALPHARMA INC  -CL A,Health,1297.285,16.936,754.609,213,0,967.609,2901.854,1971.311,0,,CEO,president & CEO,FEMALE,59,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,9410,CEO
Robert Wrobel,ALPHARMA INC  -CL A,Health,1297.285,16.936,425.769,61.5,0,487.269,513.306,513.306,0,,,"executive vp, chief legal officer & secretary",MALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,21827,
Michael Nestor,ALPHARMA INC  -CL A,Health,1297.285,16.936,417.5,466.8,0,884.3,900.038,982.598,0,,,executive vp; president-U.S. Human Pharmaceuticals,MALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,24329,
Matthew Farrell,ALPHARMA INC  -CL A,Health,1297.285,16.936,467.308,115,0,582.308,1515.316,817.408,0,,,executive vp & chief finance officer,MALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,25910,
Carol Wrenn,ALPHARMA INC  -CL A,Health,1297.285,16.936,368.25,215,0,583.25,1274.212,1388.684,0,,,president-animal health division,FEMALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,25911,
Ronald Warner,ALPHARMA INC  -CL A,Health,1297.285,16.936,300,100,60.6,400,469.591,469.591,0,,,senior vp-compliance & human pharmaceuticals scientific affairs,MALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,27630,
Kurt Orlofski,ALPHARMA INC  -CL A,Health,1297.285,16.936,296.515,390,0,686.515,791.64,764.106,0,,,senior vp-human pharmaceuticals business development,MALE,.,1034,3520,2834,PHARMACEUTICAL PREPARATIONS,27631,
Donald Carty,AMR CORP/DE,Industrial,17440,-1228,293.357,0,0,293.357,795.377,795.377,127.44,0.23,,chairman & CEO,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",3,
Gerald Arpey,AMR CORP/DE,Industrial,17440,-1228,535.275,0,0,535.275,686.295,686.295,0,,CEO,president & CEO,MALE,45,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",14221,CEO
Daniel Garton,AMR CORP/DE,Industrial,17440,-1228,467.275,0,0,467.275,1324.412,618.295,0,,,executive vp; executive vp-marketing-American,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",16477,
"William Ris, Jr.",AMR CORP/DE,Industrial,17440,-1228,385.102,0,0,385.102,1043.912,505.918,0,,,senior vp-government affairs-American,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",26083,
Monte Ford,AMR CORP/DE,Industrial,17440,-1228,380.025,0,0,380.025,1061.935,523.941,0,,,senior vp-information technology; chief information officer-American,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",27708,
Henry Joyner,AMR CORP/DE,Industrial,17440,-1228,368.024,0,0,368.024,1026.834,488.84,0,,,senior vp-planning-American,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",27709,
Jeffrey Campbell,AMR CORP/DE,Industrial,17440,-1228,412.674,0,0,412.674,1443.336,743.453,36.185,,,senior vp & chief finance officer,MALE,.,1045,2030,4512,"AIR TRANSPORT, SCHEDULED",27710,
Harvey Blau,AEROFLEX INC,IT,291.78,6.395,309.26,398.447,0,707.707,779.222,779.222,0,0.21,CEO,chairman & CEO,MALE,67,1056,4520,3825,ELEC MEAS & TEST INSTRUMENTS,19961,CEO
Michael Gorin,AEROFLEX INC,IT,291.78,6.395,393.557,398.447,0,792.004,857.989,857.989,0,0.23,,president & chief finance officer,MALE,61,1056,4520,3825,ELEC MEAS & TEST INSTRUMENTS,19962,
Leonard Borow,AEROFLEX INC,IT,291.78,6.395,393.557,398.447,0,792.004,843.672,843.672,0,0.34,,executive vp & chief operating officer,MALE,55,1056,4520,3825,ELEC MEAS & TEST INSTRUMENTS,19963,
Carl Caruso,AEROFLEX INC,IT,291.78,6.395,249.452,100,0,349.452,355.796,355.796,0,,,vp-manufacturing,MALE,59,1056,4520,3825,ELEC MEAS & TEST INSTRUMENTS,19964,
Charles Badlato,AEROFLEX INC,IT,291.78,6.395,174.875,70,0,244.875,255.503,255.503,0,,,treasurer & assistant secretary,MALE,44,1056,4520,3825,ELEC MEAS & TEST INSTRUMENTS,19965,
William Post,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,774.926,0,0,774.926,1438.539,1146.773,0,,CEO,chairman & CEO; chairman-APS,MALE,53,1075,5510,4911,ELECTRIC SERVICES,9411,CEO
Jack Davis,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,665.45,0,0,665.45,1013.048,756.794,0,,,president & chief operating officer; president & CEO-APS,MALE,57,1075,5510,4911,ELECTRIC SERVICES,16645,
William Stewart,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,472.179,0,9.427,472.179,913.981,913.981,0,,,president & CEO-PWEC,MALE,60,1075,5510,4911,ELECTRIC SERVICES,16646,
James Levine,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,557.503,112,0,669.503,899.921,772.716,0,,,executive vp-generation-APS & president & CEO-PWEC,MALE,.,1075,5510,4911,ELECTRIC SERVICES,19123,
Steven Wheeler,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,317.669,0,0,317.669,438.489,326.954,0,,,executive vp-customer service and regulation-APS,MALE,.,1075,5510,4911,ELECTRIC SERVICES,25367,
Donald Brandt,PINNACLE WEST CAPITAL,Utility,2817.852,240.579,324.66,50,23.827,374.66,517.407,405.872,0,,,executive vp & chief finance officer; chief finance officer-PWEC,MALE,.,1075,5510,4911,ELECTRIC SERVICES,27518,
"R. Loudermilk, Sr.",AARON RENTS INC,Discretionary,766.797,36.426,454,584.459,0,1038.459,1774.182,1179.827,0,7.44,CEO,chairman & CEO,MALE,76,1076,2550,7359,"EQUIP RENTAL & LEASING, NEC",17978,CEO
"Robert Loudermilk, Jr.",AARON RENTS INC,Discretionary,766.797,36.426,282.5,0,0,282.5,879.562,285.207,0,2.48,,president & chief operating officer,MALE,44,1076,2550,7359,"EQUIP RENTAL & LEASING, NEC",17979,
Gilbert Danielson,AARON RENTS INC,Discretionary,766.797,36.426,300,0,0,300,897.225,770.084,0,,,executive vp & chief finance officer,MALE,57,1076,2550,7359,"EQUIP RENTAL & LEASING, NEC",17980,
"William Butler, Jr.",AARON RENTS INC,Discretionary,766.797,36.426,375,156.1,0,531.1,1129.101,724.799,0,,,president-Aaron's sales and lease ownership division,MALE,51,1076,2550,7359,"EQUIP RENTAL & LEASING, NEC",17981,
K. Evans,AARON RENTS INC,Discretionary,766.797,36.426,160,136,0,296,323.81,298.73,0,,,vp-franchising,MALE,40,1076,2550,7359,"EQUIP RENTAL & LEASING, NEC",25896,
Miles White,ABBOTT LABORATORIES,Health,19680.561,2753.233,1564.961,1750,84.122,3314.961,9833.416,3477.331,0,,CEO,chairman & CEO,MALE,48,1078,3520,2834,PHARMACEUTICAL PREPARATIONS,13896,CEO
Richard Gonzalez,ABBOTT LABORATORIES,Health,19680.561,2753.233,882.692,885,50.866,1767.692,6618.042,2103.239,0,,,president & chief operating officer-medical products group,MALE,50,1078,3520,2834,PHARMACEUTICAL PREPARATIONS,18545,
William Dempsey,ABBOTT LABORATORIES,Health,19680.561,2753.233,534.808,540.5,73.79,1075.308,2722.535,1796.356,0,,,senior vp-pharmaceutical operations,MALE,.,1078,3520,2834,PHARMACEUTICAL PREPARATIONS,21045,
Jeffrey Leiden,ABBOTT LABORATORIES,Health,19680.561,2753.233,882.692,970,70.602,1852.692,6471.741,1967.429,0,,,president & chief operating officer-pharmaceutical products group,MALE,48,1078,3520,2834,PHARMACEUTICAL PREPARATIONS,23464,
Thomas Freyman,ABBOTT LABORATORIES,Health,19680.561,2753.233,585.577,589,8.027,1174.577,2212.841,1211.883,0,,,senior vp-finance & chief finance officer,MALE,.,1078,3520,2834,PHARMACEUTICAL PREPARATIONS,24994,
Walter Sanders III,ADVANCED MICRO DEVICES,IT,3519.168,-274.49,846.216,8.891,519.188,855.107,1429.517,1429.517,0,0.15,,chairman,MALE,67,1161,4530,3674,"SEMICONDUCTOR,RELATED DEVICE",11,
