domain isSpeech zcr_wl0.005s zcr_wl0.035s le_0-8000Hz_wl0.005s le_0-4000Hz_wl0.005s le_4000-8000Hz_wl0.005s le_0-2000Hz_wl0.005s le_2000-4000Hz_wl0.005s le_4000-6000Hz_wl0.005s le_6000-8000Hz_wl0.005s le_0-1000Hz_wl0.005s le_1000-2000Hz_wl0.005s le_2000-3000Hz_wl0.005s le_3000-4000Hz_wl0.005s le_4000-5000Hz_wl0.005s le_5000-6000Hz_wl0.005s le_6000-7000Hz_wl0.005s le_7000-8000Hz_wl0.005s le_0-8000Hz_wl0.035s le_0-4000Hz_wl0.035s le_4000-8000Hz_wl0.035s le_0-2000Hz_wl0.035s le_2000-4000Hz_wl0.035s le_4000-6000Hz_wl0.035s le_6000-8000Hz_wl0.035s le_0-1000Hz_wl0.035s le_1000-2000Hz_wl0.035s le_2000-3000Hz_wl0.035s le_3000-4000Hz_wl0.035s le_4000-5000Hz_wl0.035s le_5000-6000Hz_wl0.035s le_6000-7000Hz_wl0.035s le_7000-8000Hz_wl0.035s se_0-8000Hz_wl0.005s se_0-4000Hz_wl0.005s se_4000-8000Hz_wl0.005s se_0-2000Hz_wl0.005s se_2000-4000Hz_wl0.005s se_4000-6000Hz_wl0.005s se_6000-8000Hz_wl0.005s se_0-1000Hz_wl0.005s se_1000-2000Hz_wl0.005s se_2000-3000Hz_wl0.005s se_3000-4000Hz_wl0.005s se_4000-5000Hz_wl0.005s se_5000-6000Hz_wl0.005s se_6000-7000Hz_wl0.005s se_7000-8000Hz_wl0.005s se_0-8000Hz_wl0.035s se_0-4000Hz_wl0.035s se_4000-8000Hz_wl0.035s se_0-2000Hz_wl0.035s se_2000-4000Hz_wl0.035s se_4000-6000Hz_wl0.035s se_6000-8000Hz_wl0.035s se_0-1000Hz_wl0.035s se_1000-2000Hz_wl0.035s se_2000-3000Hz_wl0.035s se_3000-4000Hz_wl0.035s se_4000-5000Hz_wl0.035s se_5000-6000Hz_wl0.035s se_6000-7000Hz_wl0.035s se_7000-8000Hz_wl0.035s
buckeye 0 0.0746290013592 0.057089758862 2.42756152153 2.5205206871 1.03896427155 2.55463314056 2.44030165672 1.39154744148 1.20895934105 2.65978240967 1.62700557709 2.5979757309 2.57807707787 1.0262901783 1.89182460308 1.49858546257 1.59166240692 7.17319011688 7.171854496 4.66405200958 7.16730499268 5.19247150421 4.47835445404 4.20861148834 7.16243267059 5.24181556702 4.91032791138 4.90067100525 4.26263046265 4.09676742554 4.16323900223 3.27160811424 4.91220188141 4.54819917679 5.8089017868 3.91964221001 4.63796567917 4.79619312286 4.93288707733 3.71367835999 3.96029353142 3.72219705582 3.71308469772 3.89154171944 4.02424144745 3.94273924828 4.00960445404 5.29029655457 4.77883005142 5.78872108459 4.12385749817 4.90660142899 4.91162395477 4.72588729858 3.62568426132 3.87379813194 4.00255155563 3.90355539322 3.96267938614 3.96789669991 4.00383615494 3.84636664391
buckeye 1 0.0392879249291 0.0460741327068 5.53560590744 5.59765338898 3.30659198761 5.63646316528 4.79489946365 3.50111532211 3.39294195175 5.70793151855 5.72227859497 4.96820259094 5.1489982605 3.75263547897 4.13018226624 4.07327890396 3.10934448242 11.0954875946 11.0923423767 8.97351360321 11.0876979828 9.13944149017 8.78000068665 8.55075931549 11.070725441 9.81070327759 8.92268180847 8.73848342896 8.61090660095 8.32758140564 8.29951095581 8.22641277313 4.8240571022 4.60281276703 5.71553993225 4.19971561432 4.69516515732 4.91955089569 4.60386419296 3.72386717796 3.66919207573 3.70465517044 3.70279431343 3.98483967781 3.99507904053 3.82488751411 3.95983338356 5.64669704437 4.99319601059 5.9819560051 4.41535329819 4.96548891068 4.99724197388 5.03697347641 3.89641857147 3.57998991013 4.05395412445 3.95796489716 4.07509374619 4.04544305801 4.07707595825 4.08580207825
buckeye 0 0.0145502815164 0.0526491135066 1.30744314194 1.40375137329 0.413109302521 1.46043086052 0.575190782547 0.644298791885 0.499793410301 1.64475107193 1.47299802303 0.963012218475 0.665342211723 1.01089501381 0.836499929428 0.747007131577 0.529284417629 6.28977012634 6.28613185883 4.21462154388 6.2812166214 4.36005973816 3.99939894676 3.88049912453 6.2752904892 4.42776966095 4.25471496582 3.78601670265 3.65741300583 3.79375267029 3.61104512215 3.56524395943 5.46507740021 4.80628967285 5.81602430344 4.29805612564 4.90884494781 4.99647426605 4.80813121796 3.73112463951 3.8478345871 3.94523859024 3.97115087509 4.01208782196 4.07076692581 3.96609306335 3.99053692818 5.52073478699 4.77119541168 5.81578159332 4.07793045044 4.85785245895 4.82534313202 4.84190750122 3.43212223053 4.02308797836 3.98934340477 3.92100977898 3.90101718903 3.84688353539 3.73894143105 4.02990722656
buckeye 0 0.135135454062 0.0791258876501 1.33352422714 1.41933345795 1.08118927479 1.53839802742 1.87118136883 1.4525513649 0.692408680916 1.58216023445 2.37831282616 2.4291434288 1.50300359726 1.70965766907 1.43601250648 0.727768003941 1.04416787624 5.97238254547 5.94035148621 4.82448911667 5.86975097656 5.13169002533 4.52153730392 4.53088760376 5.63651514053 5.49198913574 5.01203632355 4.60135746002 4.33083486557 4.12456274033 4.35040092468 4.0924654007 6.07085609436 5.45401573181 5.57729816437 4.81169748306 4.37608528137 4.82909250259 4.85125780106 3.9959821701 3.90156245232 3.58083319664 3.85405945778 4.02850532532 3.94580626488 3.82301306725 3.97629404068 6.53674221039 5.68214797974 5.91013288498 4.78381872177 4.8691444397 4.9185128212 4.9457154274 3.66665649414 3.97138643265 3.95644545555 3.95201706886 3.92764520645 4.0234746933 4.03356838226 3.97893857956
buckeye 1 0.0552098204748 0.0678067662378 3.35988712311 3.39160966873 2.56854104996 3.43113040924 2.01003456116 2.63810491562 3.14367318153 3.49139785767 4.72221755981 2.32371592522 2.05868625641 1.92632758617 3.17893218994 3.74000549316 2.72566056252 10.2620897293 10.2602233887 7.90797233582 10.2566204071 8.21577835083 7.71803092957 7.46725940704 10.2279758453 9.12064361572 8.10025405884 7.61950111389 7.49414157867 7.35169839859 7.13194704056 7.21580791473 4.71127653122 4.42767763138 5.30669260025 4.33107948303 4.81233263016 4.24110651016 4.446788311 3.84419107437 3.50451540947 3.79550719261 4.00545597076 3.74653148651 3.43709349632 3.71162033081 3.84439015388 5.68265247345 5.16945123672 5.9994468689 4.69520521164 4.96811819077 5.03349351883 5.03817939758 3.99273133278 3.97659182549 4.0494685173 4.08256530762 4.08305120468 4.08024311066 4.08098745346 4.08440208435
buckeye 1 0.0465379325304 0.0618496782074 2.90799880028 3.1108956337 1.04407978058 3.16204595566 1.56773638725 1.00461316109 1.52500975132 3.2002325058 2.33505105972 1.98382222652 1.02388525009 1.52287530899 1.10606813431 1.764336586 1.39034700394 8.37861347198 8.37805175781 5.49788331985 8.37723922729 5.67705345154 5.0291724205 5.32795286179 8.37502670288 6.11251163483 5.48177528381 5.2522816658 4.80358552933 4.66514587402 5.17721748352 4.80986595154 4.74099493027 4.35619258881 5.75436782837 4.08053779602 4.58039951324 4.884308815 4.67431926727 3.66998791695 3.93396615982 3.83586978912 3.98985290527 4.02179288864 3.9787940979 3.80760264397 4.00344133377 4.69022512436 4.19035148621 5.87838077545 3.75953292847 4.91257143021 4.87999010086 4.96178388596 3.27951216698 4.00684976578 3.90727376938 4.0316696167 3.99039959908 3.86995863914 4.01382446289 4.05647754669
buckeye 0 0.0413937733686 0.0232301146436 1.32290291786 1.40400052071 0.334473371506 1.48818540573 0.57979798317 0.397027611732 0.632493019104 1.52508044243 0.803827762604 1.26257944107 0.942718982697 0.269281625748 0.843587398529 0.781133651733 1.17230606079 7.30781650543 7.30639982224 4.82498645782 7.30543899536 4.67153215408 4.59252643585 4.4453587532 7.30342197418 5.05744504929 4.35282993317 4.43026065826 4.46026420593 4.07793426514 4.18828630447 4.11957645416 4.8759226799 4.1923866272 5.71120977402 3.5442378521 4.84633684158 4.78783369064 4.6831870079 3.05686044693 3.99916434288 3.86180257797 3.95953345299 3.87716984749 3.91808652878 3.79009127617 3.6836066246 4.973528862 4.256503582 5.90169239044 3.75720286369 4.97654342651 4.8709154129 4.9799323082 3.27015686035 3.98143029213 4.00920534134 4.03248977661 4.00216054916 3.89565205574 3.99226021767 4.05944681168
buckeye 1 0.0102992453971 0.0153606827245 3.77531671524 3.94598174095 1.39741659164 4.01955270767 2.34713721275 1.73316681385 1.46396398544 4.09692049026 3.03179192543 2.68309926987 2.52334499359 2.27353739738 1.75912106037 2.15727114677 1.35737204552 9.73904418945 9.73839759827 6.91856050491 9.736951828 7.27681255341 6.70464277267 6.52310657501 9.7346124649 7.57158327103 7.0501332283 6.91309356689 6.54354572296 6.2289481163 6.23386669159 6.22760248184 4.17528867722 3.94539237022 5.73084926605 3.61263632774 4.95494318008 4.8746471405 4.72962713242 3.38962030411 3.71987462044 4.02767896652 3.99952316284 3.97890090942 3.93532323837 3.99800252914 3.86817574501 4.90432882309 4.38582134247 5.97920560837 3.87528729439 4.93153524399 4.98890256882 5.03059434891 3.41039085388 3.97428750992 3.99311327934 3.97138905525 4.06747293472 4.04445552826 4.06307411194 4.08349323273
buckeye 0 0.237297359837 0.13698761966 1.83677482605 1.90148329735 1.20925426483 1.87785458565 2.9600174427 1.09857881069 1.54350721836 1.86885738373 3.11489081383 3.18433523178 3.03971481323 1.30026268959 1.49229359627 1.88738644123 1.30992162228 7.83722782135 7.83588314056 5.34001970291 7.82237052917 6.33407831192 5.08290147781 5.01191997528 7.7820482254 6.80761766434 6.05926609039 6.01523685455 4.82933187485 4.77040338516 4.89083051682 4.40083694458 6.24840545654 5.80339336395 5.79418039322 4.79098892212 4.90127182007 4.81492137909 4.815990448 3.90511512756 3.82457852364 4.04332113266 3.85297250748 3.9153137207 3.78611660004 3.93638849258 4.00615024567 5.72900342941 5.34672451019 5.75792312622 4.67050075531 4.87601089478 4.96725177765 4.57406902313 3.86110877991 3.98165249825 3.95308184624 3.88649487495 4.0626335144 3.96007108688 3.66991972923 3.66407561302
buckeye 1 0.0237153008552 0.020960060569 4.6174955368 4.67963600159 1.91597604752 4.72015094757 2.84433078766 2.20223689079 1.64024806023 4.79933357239 2.61149930954 3.24550366402 2.20668935776 2.68145227432 2.66018772125 2.3226878643 1.44974005222 9.60658168793 9.60422611237 7.34923934937 9.59994888306 7.62107229233 7.12560939789 6.96405220032 9.59348678589 7.83173084259 7.48861932755 7.07842063904 6.91719007492 6.74099826813 6.68596315384 6.66711854935 3.74001097679 3.56867933273 5.37986135483 3.35298728943 4.59406042099 4.68848133087 4.40222740173 3.24372649193 3.98217201233 3.7620177269 4.04612255096 3.63598108292 3.84635734558 3.70580840111 3.60302495956 5.56508493423 4.89694261551 6.007417202 4.25515890121 4.98727607727 5.02732658386 5.04329633713 3.6638917923 4.03836297989 4.07059431076 4.07121324539 4.07679748535 4.07975769043 4.08620786667 4.08673048019
